id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4240015,John,Ojukwu,Boise State,315,78,70.0,4,OL,Boise,ID,USA,43.6166163,-116.200886,16001,[40215]
4240809,Kurt,Rafdal,Boise State,245,79,87.0,4,TE,Carmel,IN,USA,39.9788017,-86.1189257,18057,[39331]
4241849,Will,Farrar,Boise State,325,77,75.0,4,OL,Richmond,TX,USA,29.5821811,-95.7607832,48157,[39245]
4248836,Davis,Koetter,Boise State,200,74,17.0,4,WR,Tampa,FL,USA,27.9477595,-82.458444,12057,[]
4248845,Jared,Reed,Boise State,195,72,16.0,4,S,Portland,OR,USA,45.5202471,-122.6741949,41051,[42759]
4251145,George,Tarlas,Boise State,255,75,44.0,4,LB,Boise,ID,USA,43.6166163,-116.200886,16001,[]
4260443,Tyreque,Jones,Boise State,205,74,21.0,4,CB,San Bernardino,CA,USA,34.1083449,-117.2897652,06071,[40108]
4260450,Ezekiel,Noa,Boise State,240,71,7.0,4,LB,Spring Valley,CA,USA,39.0800023,-122.5963989,06033,[39511]
4361002,Jackson,Cravens,Boise State,305,74,94.0,4,NT,Provo,UT,USA,40.2338438,-111.6585337,49049,[43488]
4361067,Brandon,Hawkins,Boise State,225,74,3.0,4,LB,Georgetown,TX,USA,30.671598,-97.65500660120435,48491,[44138]
4361070,DJ,Schramm,Boise State,235,72,52.0,4,LB,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,[44593]
4373436,Caleb,Biggers,Boise State,195,71,1.0,4,CB,Prince Frederick,MD,USA,38.5405535,-76.58350705292793,24009,[45706]
4373463,Cade,Beresford,Boise State,305,79,71.0,4,OL,Woodinville,WA,USA,47.7545827,-122.1588902,53033,[43725]
4373662,Billy,Bowens,Boise State,198,73,18.0,4,WR,Redlands,CA,USA,34.055735,-117.1888961,06071,[44482]
4373665,Connor,Riddle,Boise State,225,73,89.0,4,WR,Boise,ID,USA,43.6166163,-116.200886,16001,[]
4373666,Dallas,Holliday,Boise State,315,75,72.0,4,OL,Sherman Oaks,CA,USA,34.1508718,-118.4489865,06037,[45048]
4373669,Demitri,Washington,Boise State,260,75,38.0,4,LB,Solana Beach,CA,USA,32.9905597,-117.2691316,06073,[44448]
4373671,Garrett,Curran,Boise State,305,77,69.0,4,OL,El Cajon,CA,USA,32.7947731,-116.9625269,06073,[44328]
4373677,Kekaniokoa,Holomalia-Gonzalez,Boise State,305,74,55.0,4,OL,Santa Ana,CA,USA,33.7494951,-117.8732213,06059,[]
