id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4241592,Gray,Davis,Colorado State,300,76,67.0,4,OL,Dallas,TX,USA,32.7762719,-96.7968559,48113,[40806]
4244616,Dante,Bivens,Colorado State,325,76,74.0,4,OL,Spring,TX,USA,30.0798826,-95.4172549,48201,[39835]
4248645,Dontae,Keys,Colorado State,325,76,52.0,4,OL,Fayetteville,NC,USA,35.0525759,-78.878292,37051,[]
4256044,Justice,McCoy,Colorado State,190,73,2.0,4,WR,New Orleans,LA,USA,29.9499323,-90.0701156,22071,[39690]
4256049,E.J.,Scott,Colorado State,195,73,3.0,4,WR,Powder Springs,GA,USA,33.8595492,-84.683824,13067,[]
4256090,Michael,Boyle,Colorado State,190,73,98.0,4,PK,Washougal,WA,USA,45.5819594,-122.3479921,53011,[]
4259310,CJ,Onyechi,Colorado State,245,72,2.0,4,DL,West Orange,NJ,USA,40.7987113,-74.2390353,34013,[]
4360205,David,Bailey,Colorado State,225,72,26.0,4,RB,Ridgely,MD,USA,38.9480656,-75.8848665,24011,[44298]
4360475,Chigozie,Anusiem,Colorado State,200,73,7.0,4,DB,La Habra,CA,USA,33.9330156,-117.944777,06059,[43445]
4361282,Dequan,Jackson,Colorado State,225,73,5.0,4,LB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,[44208]
4361285,Tywan,Francis,Colorado State,195,71,8.0,4,DB,New Orleans,LA,USA,29.9499323,-90.0701156,22071,[44367]
4361286,Cam'Ron,Carter,Colorado State,220,73,12.0,4,LB,Tucker,GA,USA,33.8532701,-84.2200729,13089,[]
4361287,A'Jon,Vivens,Colorado State,200,71,1.0,4,RB,Denver,CO,USA,39.7392364,-104.9848623,08031,[45237]
4361293,Thomas,Pannunzio,Colorado State,175,68,18.0,4,WR,Pueblo,CO,USA,38.2544472,-104.609141,08101,[]
4361294,Troy,Golden,Colorado State,225,73,43.0,4,DL,Orlando,FL,USA,28.5421109,-81.3790304,12095,[45302]
4361297,Ches,Jackson,Colorado State,290,76,56.0,4,OL,Tifton,GA,USA,31.4522765,-83.5096866,13277,[45158]
4361306,Gary,Williams,Colorado State,235,74,84.0,4,TE,Charlotte,NC,USA,35.2272,-80.843083,37119,[45186]
4361312,Devin,Phillips,Colorado State,290,73,40.0,4,DL,Monroe,LA,USA,32.5093109,-92.1193012,22073,[43803]
4362058,Cameron,Cooper,Colorado State,300,76,60.0,3,OL,Aurora,CO,USA,39.729432,-104.8319196,08005,[45748]
4365716,Greg,Laday,Colorado State,195,72,10.0,3,DB,Port Arthur,TX,USA,29.8988618,-93.9288723,48245,[]
4426808,Tavian,Brown,Colorado State,225,72,9.0,3,LB,Demopolis,AL,USA,32.5178284,-87.8368201,01091,[49148]
4427677,Mohamed,Kamara,Colorado State,250,73,42.0,4,DL,Newark,NJ,USA,40.735657,-74.1723667,34013,[]
4427957,Ty,McCullouch,Colorado State,185,72,6.0,4,WR,Moreno Valley,CA,USA,33.937517,-117.2305944,06065,[47599]
