id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4240815,Guy,Thomas,Colorado,235.0,76.0,1.0,4.0,LB,Miami,FL,USA,25.7742658,-80.1936589,12086,[39071]
4241225,R.J.,Sneed II,Colorado,195.0,73.0,2.0,4.0,WR,Cypress,TX,USA,29.9691116,-95.6971686,48201,[]
4241368,Robert,Barnes,Colorado,230.0,74.0,20.0,4.0,LB,Southlake,TX,USA,32.9412363,-97.1341783,48439,[38722]
4243163,Alex,Fontenot,Colorado,200.0,72.0,8.0,4.0,RB,Richmond,TX,USA,29.5821811,-95.7607832,48157,[39390]
4243165,Jaylon,Jackson,Colorado,170.0,70.0,10.0,4.0,WR,Cedar Hill,TX,USA,32.5888072,-96.9553675,48113,[39802]
4243170,Maurice,Bell,Colorado,185.0,72.0,13.0,4.0,WR,Murrieta,CA,USA,33.577752399999994,-117.18845420205307,06065,[39319]
4243171,Isaiah,Lewis,Colorado,205.0,72.0,23.0,4.0,S,Granite Bay,CA,USA,38.7632346,-121.1638361,06061,[40155]
4243176,Brady,Russell,Colorado,250.0,75.0,38.0,4.0,TE,Fort Collins,CO,USA,40.5508527,-105.0668085,08069,[]
4243183,Terrance,Lang,Colorado,290.0,79.0,54.0,4.0,DE,Pomona,CA,USA,34.0553813,-117.7517496,06037,[39162]
4243195,Jalen,Sami,Colorado,325.0,78.0,99.0,3.0,DL,Colorado Springs,CO,USA,38.8339578,-104.8253485,08041,[41063]
4287328,Anthony,Lyle,Colorado,200.0,72.0,41.0,4.0,S,Lafayette,CO,USA,39.9935959,-105.0897058,08013,[]
4360644,Daniel,Arias,Colorado,210.0,76.0,6.0,4.0,WR,Mill Creek,WA,USA,47.8577455,-122.2210628,53061,[43624]
4360652,Deion,Smith,Colorado,190.0,72.0,20.0,3.0,RB,Houston,TX,USA,29.7589382,-95.3676974,48201,[43873]
4360669,Casey,Roddick,Colorado,305.0,76.0,70.0,3.0,OL,Ventura,CA,USA,34.3435092,-119.29560423163717,06111,[39375]
4360670,Frank,Fillip,Colorado,295.0,79.0,76.0,3.0,OL,Houston,TX,USA,29.7589382,-95.3676974,48201,[43893]
4362198,Josh,Chandler-Semedo,Colorado,225.0,70.0,8.0,4.0,LB,Canton,OH,USA,40.7989522,-81.3784445,39151,[44378]
4362511,Nigel,Bethel Jr.,Colorado,170.0,72.0,27.0,3.0,CB,Miami,FL,USA,25.7742658,-80.1936589,12086,[44193]
4369839,J.T.,Shrout,Colorado,220.0,75.0,5.0,2.0,QB,Santa Clarita,CA,USA,34.3916641,-118.542586,06037,[]
4372033,Tommy,Brown,Colorado,330.0,79.0,75.0,4.0,OT,Santa Ana,CA,USA,33.7494951,-117.8732213,06059,[43039]
4427177,Noah,Fenske,Colorado,305.0,77.0,53.0,2.0,OL,New Hampton,IA,USA,43.0591412,-92.3176768,19037,[48089]
4427371,Marvin,Ham II,Colorado,225.0,73.0,7.0,2.0,LB,Belleville,MI,USA,42.2048414,-83.4852106,17163,[47262]
4428859,Jake,Wiley,Colorado,310.0,78.0,60.0,2.0,OL,Centennial,CO,USA,39.5680644,-104.97783081285026,08005,[48042]
4429149,Brendon,Lewis,Colorado,215.0,74.0,12.0,2.0,QB,Melissa,TX,USA,33.2860549,-96.5725952,48085,[61994]
4430421,Na'im,Rodman,Colorado,305.0,74.0,91.0,3.0,DL,Lakewood,CA,USA,33.8503463,-118.1171914,06037,[48060]
4431039,Alvin,Williams,Colorado,230.0,75.0,58.0,2.0,LB,Ellenwood,GA,USA,33.6101096,-84.287978,13063,[62637]
4569287,Joshka,Gustav,Colorado,235.0,75.0,33.0,2.0,LB,Hamburg,,Germany,,,,[43995]
4569288,Austin,Johnson,Colorado,300.0,76.0,64.0,2.0,OL,Louisville,KY,USA,38.2542376,-85.759407,21111,"[36906, 47669]"
4569290,Jamar,Montgomery,Colorado,250.0,74.0,4.0,4.0,LB,Birmingham,AL,USA,33.5206824,-86.8024326,01073,[]
4569291,Quinn,Perry,Colorado,245.0,74.0,12.0,4.0,LB,Marina Del Rey,CA,USA,36.9225615,-121.8517849,06087,[]
4577073,Derek,Bedell,Colorado,225.0,75.0,85.0,2.0,LS,Bellflower,CA,USA,33.8825705,-118.1167679,06037,[]
4578391,Chance,Main,Colorado,250.0,76.0,90.0,4.0,DE,Cherryvale,KS,USA,37.270344,-95.5524788,20125,[]
4592879,Tyrin,Taylor,Colorado,175.0,74.0,5.0,2.0,S,Huntersville,NC,USA,35.410845,-80.8429094,37119,[73015]
4600603,Drew,Carter,Colorado,195.0,75.0,9.0,2.0,QB,Tigard,OR,USA,45.4307473,-122.7719339,41067,[72418]
4605105,Mac,Willis,Colorado,190.0,75.0,38.0,2.0,CB,Centennial,CO,USA,39.5680644,-104.97783081285026,08005,[]
4612411,Chase,Penry,Colorado,190.0,73.0,3.0,2.0,WR,Greenwood Village,CO,USA,39.6172101,-104.9508141,08005,[72299]
4668019,Erik,Olsen,Colorado,245.0,77.0,87.0,1.0,TE,Littleton,CO,USA,39.613321,-105.0166498,08005,[71878]
4682769,Luke,Eckardt,Colorado,290.0,78.0,52.0,1.0,OL,Spring Grove,PA,USA,39.8745437,-76.8658078,42133,[]
4682862,Tyas,Martin,Colorado,340.0,76.0,95.0,1.0,DL,Helena,AR,USA,34.5291,-90.59,05107,[72145]
4683148,Allan,Baugh,Colorado,270.0,74.0,97.0,1.0,DL,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,[72993]
4683195,Edgar,Amaya,Colorado,325.0,74.0,68.0,1.0,OL,Russellville,AL,USA,34.5067141,-87.7294591,01059,[72813]
4683958,Jackson,Anderson,Colorado,300.0,76.0,56.0,1.0,OL,Mineola,TX,USA,32.6633387,-95.4880308,48499,[72851]
4685330,Dylan,Dixson,Colorado,190.0,74.0,9.0,1.0,S,Houston,TX,USA,29.7589382,-95.3676974,48201,[90713]
4685385,Anthony,Hankerson,Colorado,190.0,69.0,22.0,1.0,RB,Boynton Beach,FL,USA,26.5256179,-80.0666026,12099,[90804]
4685559,Aubrey,Smith,Colorado,215.0,75.0,32.0,1.0,LB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[90749]
4686563,Ryan,Williams,Colorado,275.0,75.0,93.0,1.0,DL,Pearland,TX,USA,29.5639758,-95.2864299,48039,[73442]
4686743,Jaylen,Striker,Colorado,200.0,75.0,2.0,3.0,S,Tampa,FL,USA,27.9477595,-82.458444,12057,[65637]
4686744,Justin,Jackson,Colorado,275.0,74.0,13.0,4.0,DL,Olive Branch,MS,USA,34.9617605,-89.8295315,28033,[65619]
4686768,Gerad,Christian-Lichtenhan,Colorado,325.0,82.0,69.0,2.0,OL,Davis,CA,USA,38.545379,-121.7445835,06113,[]
4686771,Caleb,Fauria,Colorado,235.0,77.0,18.0,1.0,TE,Attleboro,MA,USA,41.9438129,-71.2806515,25005,"[62319, 74968]"
4686773,Devin,Grant,Colorado,245.0,75.0,44.0,1.0,LB,San Antonio,TX,USA,29.4246002,-98.4951405,48029,[62447]
4686775,Montana,Lemonious-Craig,Colorado,185.0,74.0,1.0,2.0,WR,Inglewood,CA,USA,33.9562003,-118.353132,06037,[62523]
4686779,Louis,Passarello,Colorado,250.0,77.0,89.0,1.0,TE,Palo Alto,CA,USA,37.4443293,-122.1598465,06085,[63917]
4686780,Toren,Pittman,Colorado,185.0,76.0,22.0,2.0,CB,Frisco,TX,USA,33.1506744,-96.8236116,48085,[62513]
4686782,Jayle,Stacks,Colorado,235.0,71.0,21.0,2.0,RB,Aurora,CO,USA,39.729432,-104.8319196,08005,[63961]
4686783,Mister,Williams,Colorado,250.0,72.0,35.0,1.0,LB,Westlake Village,CA,USA,34.1460234,-118.8061794,06037,[62424]
4686786,Trevor,Woods,Colorado,195.0,73.0,43.0,2.0,S,Katy,TX,USA,29.7857853,-95.8243956,48157,[72446]
4686995,Kaylin,Moore,Colorado,180.0,70.0,,2.0,CB,Westlake Village,CA,USA,34.1460234,-118.8061794,06037,[72808]
