id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4240504,William,Lay III,Georgia Tech,308,74,79.0,4,OL,Bowersville,GA,USA,34.3728819,-83.0826491,13147,[]
4241928,Kenny,Bennett,Georgia Tech,194,75,25.0,4,DB,Philadelphia,PA,USA,39.9527237,-75.1635262,42101,[39547]
4241933,Ayinde,Eley,Georgia Tech,233,75,2.0,4,LB,Silver Spring,MD,USA,38.9959461,-77.0276231,24031,[39021]
4243493,Keion,White,Georgia Tech,286,77,6.0,4,DL,Garner,NC,USA,35.7112642,-78.6141709,37183,[41767]
4248557,E.J.,Jenkins,Georgia Tech,243,79,,4,WR,Fredericksburg,VA,USA,38.3031837,-77.4605399,51630,[]
4360572,Charlie,Thomas,Georgia Tech,207,74,1.0,4,LB,Thomasville,GA,USA,30.8365815,-83.9787808,13275,[43574]
4360574,T.K.,Chimedza,Georgia Tech,335,75,5.0,3,DL,Dacula,GA,USA,33.9887165,-83.8979573,13135,[]
4360575,Malachi,Carter,Georgia Tech,192,75,7.0,4,WR,Lawrenceville,GA,USA,33.9562149,-83.9879625,13135,[43945]
4360580,Peje',Harris,Georgia Tech,226,75,18.0,3,TE,Newnan,GA,USA,33.3806716,-84.7996573,13077,[44537]
4360584,Jaylon,King,Georgia Tech,192,73,14.0,3,DB,La Vergne,TN,USA,36.0156178,-86.5819394,47149,[43225]
4360586,Michael,Maye,Georgia Tech,315,75,61.0,3,OL,Hoover,AL,USA,33.3848933,-86.8070484,01073,[]
4360589,Dontae,Smith,Georgia Tech,203,71,4.0,3,RB,Spring Hill,TN,USA,35.751179,-86.9300023,47119,[43698]
4360591,Zamari,Walton,Georgia Tech,185,75,7.0,3,DB,Melbourne,FL,USA,28.0836269,-80.6081089,12009,[44101]
4360699,Myles,Sims,Georgia Tech,187,75,,3,DB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[43077]
4360805,Hassan,Hall,Georgia Tech,196,72,3.0,4,RB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[43934]
4362113,Daniel,Carson,Georgia Tech,287,76,90.0,3,DL,Kansas City,MO,USA,39.100105,-94.5781416,29095,[43442]
4363610,Cade,Long,Georgia Tech,231,72,52.0,3,LS,Hixson,TN,USA,35.153983,-85.22301235324254,47065,[]
4372757,Derrik,Allen,Georgia Tech,212,74,4.0,3,DB,Marietta,GA,USA,33.9528472,-84.5496148,13067,[43013]
4373454,Dylan,McDuffie,Georgia Tech,217,72,6.0,3,RB,Amherst,NY,USA,42.9783924,-78.7997616,36029,[45072]
4426430,Taisun,Phommachanh,Georgia Tech,208,75,17.0,2,QB,Bridgeport,CT,USA,41.1670412,-73.2048348,09001,[47012]
4426464,KJ,Wallace,Georgia Tech,184,71,16.0,2,DB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[47091]
4426692,Luke,Benson,Georgia Tech,236,76,81.0,3,TE,Chalfont,PA,USA,40.29066735,-75.21070232492798,42017,[48615]
4426710,Kenyatta,Watson II,Georgia Tech,185,73,3.0,2,DB,Loganville,GA,USA,33.8389977,-83.9007382,13297,[46927]
4427729,Demetrius,Knight II,Georgia Tech,247,74,17.0,3,LB,Locust Grove,GA,USA,33.3459495,-84.109083,13151,[48105]
4428140,Kalani,Norris,Georgia Tech,170,72,5.0,3,WR,Miami,FL,USA,25.7742658,-80.1936589,12086,[47455]
4429066,Jeff,Sims,Georgia Tech,219,76,10.0,2,QB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,[61789]
4429135,Eric,Reed Jr.,Georgia Tech,196,72,13.0,1,DB,Shreveport,LA,USA,32.5221828,-93.7651944,22017,[61756]
4429544,D'Quan,Douse,Georgia Tech,282,74,99.0,2,DL,Savannah,GA,USA,32.0809263,-81.0911768,13051,[48336]
4429956,Jalen,Huff,Georgia Tech,180,72,21.0,2,DB,Athens,GA,USA,33.9597677,-83.376398,13059,[62199]
4430178,Cade,Kootsouradis,Georgia Tech,316,76,62.0,1,OL,Crestview,FL,USA,30.7621326,-86.5705084,12091,[62769]
4430791,Sylvain,Yondjouen,Georgia Tech,257,76,32.0,3,DL,Ruisbroek,,Belgium,,,,"[47562, 67972]"
4430839,Paul,Tchio,Georgia Tech,314,77,57.0,2,OL,Milton,GA,USA,34.1321631,-84.300666,13121,[61670]
4430874,LaMiles,Brooks,Georgia Tech,192,74,20.0,2,DB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,[61822]
4430988,Billy,Ward,Georgia Tech,246,76,85.0,2,TE,Locust Grove,GA,USA,33.3459495,-84.109083,13151,[62501]
4431102,Khatavian,Franks,Georgia Tech,213,74,34.0,1,LB,Fairburn,GA,USA,33.5670562,-84.5810418,13121,[61997]
4431109,Bryce,Gowdy,Georgia Tech,210,75,7.0,1,WR,Deerfield Beach,FL,USA,26.318342,-80.0996306,12011,[61875]
4431278,Weston,Franklin,Georgia Tech,305,76,72.0,2,OL,Jesup,GA,USA,31.6074365,-81.8853924,13305,[71933]
4431372,Makius,Scott,Georgia Tech,295,76,8.0,2,DL,Gainesville,GA,USA,34.2978794,-83.8240663,13139,[62321]
4431501,James,BlackStrain,Georgia Tech,188,74,25.0,1,WR,Cocoa,FL,USA,28.3553873,-80.7318827,12009,[71755]
4431579,Tyler,Morehead,Georgia Tech,226,70,46.0,1,DB,Homerville,GA,USA,31.0365983,-82.7470849,13065,[]
4432333,Kyle,Kennard,Georgia Tech,240,77,9.0,2,DL,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[62380]
4432387,Nate,McCollum,Georgia Tech,184,71,8.0,2,WR,Mcdonough,GA,USA,33.4473361,-84.1468616,13151,[]
4432575,Akelo,Stone,Georgia Tech,280,74,97.0,1,DL,Savannah,GA,USA,32.0809263,-81.0911768,13051,[62412]
4432647,Jordan,Williams,Georgia Tech,312,78,54.0,2,OL,Gainesville,GA,USA,34.2978794,-83.8240663,13139,[62128]
4432709,Ahmari,Harvey,Georgia Tech,174,72,18.0,1,DB,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,[71666]
4433877,Tyson,Meiguez,Georgia Tech,216,74,33.0,1,LB,Fairburn,GA,USA,33.5670562,-84.5810418,13121,[62159]
4565493,Wing,Green,Georgia Tech,301,79,76.0,1,OL,Leesburg,GA,USA,31.7324556,-84.1711966,13177,[62517]
4567122,Kevin,Harris,Georgia Tech,241,76,11.0,2,DL,Loganville,GA,USA,33.8389977,-83.9007382,13297,[46919]
4567133,Pierce,Quick,Georgia Tech,291,77,71.0,2,OL,Trussville,AL,USA,33.626629,-86.5549335251678,01073,[46836]
4568271,Kenan,Johnson,Georgia Tech,180,73,24.0,2,DB,Minneola,FL,USA,28.5744441,-81.7461873,12069,[47789]
4568279,Taylor,McCawley,Georgia Tech,222,72,10.0,2,LB,Birmingham,GA,USA,34.1664855,-84.3329797,13121,[]
4568281,Chris,Miller,Georgia Tech,244,76,84.0,2,TE,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[]
