id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4037533,Noah,Turner,James Madison,250,75,85.0,4,TE,Mundelein,IL,USA,42.263079,-88.0039653,17097,[35910]
4239136,Jordan,Swann,James Madison,186,70,21.0,4,CB,Baltimore,MD,USA,39.2908816,-76.610759,24510,[41371]
4241922,Deon,Jones,James Madison,197,72,8.0,4,S,Oxon Hill,MD,USA,38.8035961,-76.9896573,24033,[38800]
4243276,Todd,Centeio,James Madison,222,72,1.0,4,QB,Palm Beach Gardens,FL,USA,26.8418256,-80.13590694666684,12099,[39529]
4249315,Kris,Thornton,James Madison,179,68,8.0,4,WR,Lubbock,TX,USA,33.5635206,-101.879336,48303,[]
4249583,Percy,Agyei-Obese,James Madison,211,72,31.0,4,RB,Frederick,MD,USA,39.4142186,-77.4109269,24021,[]
4249586,Sam,Kidd,James Madison,207,73,33.0,4,S,Reston,VA,USA,38.9583737,-77.3579805,51059,[]
4249594,Kyle,Davis,James Madison,225,72,50.0,4,LS,Waxhaw,NC,USA,34.9362535,-80.75079198523316,37179,[49590]
4249608,Isaac,Ukwu,James Madison,260,75,,4,DL,Upper Marlboro,MD,USA,38.8165274,-76.7519753,24033,[]
4251359,Terrance,Greene Jr.,James Madison,195,71,,4,WR,Philadelphia,PA,USA,39.9527237,-75.1635262,42101,[41314]
4261936,Jamare,Edwards,James Madison,281,75,5.0,4,DL,Miami,FL,USA,25.7742658,-80.1936589,12086,[41149]
4360969,Abi,Nwabuoku-Okonji,James Madison,264,75,8.0,3,DL,Snellville,GA,USA,33.857328,-84.0199108,13135,[43868]
4360997,Antonio,Colclough,James Madison,244,76,45.0,3,DL,Bronx,NY,USA,40.85048545,-73.84040355802088,36005,[]
4366625,Reggie,Brown,James Madison,193,73,9.0,3,WR,Lakeland,FL,USA,28.0394654,-81.9498042,12105,[]
4366630,Que,Reid,James Madison,194,72,1.0,3,S,Concord,NC,USA,35.4093772,-80.5797416,37025,[]
4366633,Devin,Ravenel,James Madison,171,73,19.0,4,WR,Stafford,VA,USA,38.4222681,-77.4084067,51179,[]
4366635,Chris,Chukwuneke,James Madison,183,72,34.0,3,S,Edison,NJ,USA,40.5382375,-74.39451734508772,34023,[]
4366638,Camden,Wise,James Madison,180,73,40.0,3,PK,Blacksburg,VA,USA,37.2296566,-80.4136767,51121,[]
4366640,Solomon,Vanhorse,James Madison,182,68,3.0,3,RB,Alpharetta,GA,USA,34.0709576,-84.2747329,13121,[46116]
4366643,Francis,Meehan,James Madison,195,71,49.0,3,S,Wilmington,NC,USA,34.2257282,-77.9447107,37129,[]
4366646,Mateo,Jackson,James Madison,213,73,51.0,4,LB,Richmond,VA,USA,37.5385087,-77.43428,51760,[]
4366649,Nick,Kidwell,James Madison,316,78,56.0,3,OL,Knoxville,MD,USA,,,,[]
4366651,Tony,Thurston,James Madison,292,75,90.0,3,DL,Louisa,VA,USA,38.0250438,-78.0035745,51109,[]
4366657,Drew,Painter,James Madison,250,75,89.0,4,TE,Hershey,PA,USA,40.2854881,-76.6506001,42043,[]
4372463,Jamree,Kromah,James Madison,257,76,9.0,3,DL,Upper Marlboro,MD,USA,38.8165274,-76.7519753,24033,[45126]
4401795,Tate,Beaver,James Madison,220,74,41.0,4,LB,Newton,NC,USA,35.6630887,-81.2219363,37035,[]
4428181,Isaac,Owusu-Appiah,James Madison,313,75,78.0,2,OL,Manassas,VA,USA,38.7509488,-77.4752667,51683,[50624]
4428195,Julio,Ayamel,James Madison,221,72,6.0,2,LB,Gaithersburg,MD,USA,39.1434406,-77.2013705,24031,[]
4428434,Josh,Sarratt,James Madison,191,70,12.0,3,S,Stafford,VA,USA,38.4222681,-77.4084067,51179,[]
4428934,Joe,Worman,James Madison,285,76,90.0,2,DL,Leesburg,VA,USA,39.1154496,-77.5645446,51107,[]
4430286,Latrele,Palmer,James Madison,216,72,5.0,3,RB,Boyds,MD,USA,39.1840886,-77.3122325,24031,[]
4430365,Jarius,Reimonenq,James Madison,193,70,7.0,3,S,Hattiesburg,MS,USA,31.3271189,-89.2903392,28035,[48688]
4430556,Seth,Naotala,James Madison,220,72,52.0,2,LB,Newport News,VA,USA,36.9786449,-76.4321089,51700,[]
4432370,Sammy,Malignaggi,James Madison,198,68,23.0,2,RB,Nashua,NH,USA,42.7653662,-71.467566,33011,[]
