id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4242215,Todd,Harris Jr.,LSU,200,72,4.0,4,S,Maringouin,LA,USA,30.4913049,-91.5195542,22047,[38711]
4243321,Ali,Gaye,LSU,265,78,11.0,4,DE,Edmonds,WA,USA,47.8105738,-122.3774952,53061,[65523]
4247483,Tre'Mond,Shorts,LSU,340,77,52.0,4,OL,Hampton,GA,USA,33.3870578,-84.2829784,13151,[]
4250484,Colby,Richardson,LSU,190,73,22.0,4,DB,New Orleans,LA,USA,29.9499323,-90.0701156,22071,[]
4259682,Jared,Small,LSU,215,70,58.0,4,LB,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,[]
4360305,Mike,Jones Jr.,LSU,230,73,6.0,3,LB,Nashville,TN,USA,36.1622296,-86.7743531,47037,[43117]
4361342,Sevyn,Banks,LSU,205,74,1.0,4,CB,Orlando,FL,USA,28.5421109,-81.3790304,12095,[43128]
4361834,Jarrick,Bernard-Converse,LSU,205,73,24.0,4,CB,Shreveport,LA,USA,32.5221828,-93.7651944,22017,[43994]
4362631,Micah,Baskerville,LSU,228,73,23.0,4,LB,Shreveport,LA,USA,32.5221828,-93.7651944,22017,[43184]
4362645,Cameron,Wire,LSU,295,78,61.0,4,OT,Gonzales,LA,USA,30.2385294,-90.9200987,48177,[43335]
4362650,Jaray,Jenkins,LSU,200,74,10.0,4,WR,Jena,LA,USA,31.6832271,-92.1337448,22059,[43355]
4371995,Joe,Foucha,LSU,208,71,13.0,4,S,New Orleans,LA,USA,29.9499323,-90.0701156,22071,"[43511, 67906]"
4380519,Hunter,Faust,LSU,225,73,37.0,4,LB,New Orleans,LA,USA,29.9499323,-90.0701156,22071,[]
4423373,Evan,Francioni,LSU,201,72,88.0,4,WR,River Ridge,LA,USA,38.378678,-85.6455176,18019,[]
4426333,John,Emery Jr.,LSU,220,71,4.0,4,RB,Saint Rose,LA,USA,38.6820405,-89.55343803342507,17027,[46809]
4426348,Jayden,Daniels,LSU,200,75,5.0,3,QB,San Bernardino,CA,USA,34.1083449,-117.2897652,06071,[46831]
4426355,Kardell,Thomas,LSU,350,75,58.0,3,OL,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,[46893]
4426658,Noah,Cain,LSU,226,71,21.0,3,RB,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,[46894]
4426768,Jay,Bramblett,LSU,202,74,19.0,4,P,Tuscaloosa,AL,USA,33.2095614,-87.5675258,01125,[48343]
4427659,Raydarious,Jones,LSU,170,74,39.0,3,CB,Horn Lake,MS,USA,34.9553719,-90.0348139,28033,[47172]
4427813,Desmond,Little,LSU,230,77,8.0,3,LB,Prichard,AL,USA,30.7387998,-88.0788889,01097,[47670]
4429022,Kayshon,Boutte,LSU,205,72,7.0,3,WR,New Iberia,LA,USA,30.0035365,-91.8187285,22045,[61592]
4429034,Jaquelin,Roy,LSU,315,76,99.0,3,DT,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,[61608]
4429036,Major,Burns,LSU,187,74,28.0,2,S,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,[61748]
4429039,Marcus,Dumervil,LSU,305,77,74.0,2,OL,Lauderdale Lakes,FL,USA,26.1667184,-80.2085565,12011,[61676]
4429111,BJ,Ojulari,LSU,250,75,18.0,3,DE,Marietta,GA,USA,33.9528472,-84.5496148,13067,[61651]
4429124,Jacobian,Guillory,LSU,315,74,90.0,2,DT,Alexandria,LA,USA,31.311248,-92.4449087,27041,[61663]
4429211,Anthony,Bradford,LSU,345,77,75.0,3,OL,Muskegon,MI,USA,43.2341813,-86.2483921,26121,[47002]
4430257,Corren,Norman,LSU,200,69,23.0,3,RB,Broussard,LA,USA,30.1471506,-91.9612413,22055,[50104]
4431133,Xavier,Hill,LSU,318,76,71.0,2,OL,Olive Branch,MS,USA,34.9617605,-89.8295315,28033,[62049]
4431219,Kyren,Lacy,LSU,217,74,2.0,3,WR,Thibodaux,LA,USA,29.7957633,-90.822871,22057,[62641]
4431252,Garrett,Dellinger,LSU,320,77,72.0,2,OL,Clarkston,MI,USA,42.735863,-83.4188304,26125,[71547]
4431286,Armoni,Goodwin,LSU,195,68,22.0,2,RB,Trussville,AL,USA,33.626629,-86.5549335251678,01073,[71551]
4431334,Chris,Hilton Jr.,LSU,182,73,17.0,1,WR,Zachary,LA,USA,30.6485191,-91.1564961,22033,[71532]
4431527,Derrick,Davis Jr.,LSU,210,72,12.0,2,S,Pittsburgh,PA,USA,40.4416941,-79.9900861,42003,[]
4431539,Sage,Ryan,LSU,203,71,15.0,1,S,Lafayette,LA,USA,30.2240897,-92.0198427,22055,[71485]
4431567,Maason,Smith,LSU,300,77,,2,DT,Houma,LA,USA,29.5957696,-90.7195348,22109,[71475]
4431583,Greg,Penn III,LSU,238,74,30.0,2,LB,Baltimore,MD,USA,39.2908816,-76.610759,24510,[71669]
4432378,Marlon,Martinez,LSU,330,76,77.0,3,OL,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,[61946]
4432675,Zavier,Carter,LSU,205,76,17.0,2,DE,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[71670]
4432724,Bryce,Langston,LSU,293,75,81.0,1,DT,Ocala,FL,USA,29.1871986,-82.1400923,12083,[71601]
4432773,Brian,Thomas Jr.,LSU,201,76,11.0,2,WR,Walker,LA,USA,30.4879678,-90.8614878,27021,[]
4433921,Kole,Taylor,LSU,250,79,87.0,3,TE,Grand Junction,CO,USA,39.063956,-108.5507317,08077,[61989]
4567152,Greg,Brooks Jr.,LSU,187,70,3.0,4,S,Harvey,LA,USA,29.9035387,-90.0772944,17031,[67962]
4567747,Garrett,Nussmeier,LSU,194,74,13.0,1,QB,Lake Charles,LA,USA,30.2265949,-93.2173759,22019,[71543]
4568007,Jay,Ward,LSU,188,74,5.0,4,S,Moultrie,GA,USA,31.179998,-83.7887928,13071,[47314]
4568014,Charles,Turner,LSU,295,76,69.0,3,OL,Canton,OH,USA,40.7989522,-81.3784445,39151,[47364]
4568024,Josh,Williams,LSU,200,69,27.0,3,RB,Houston,TX,USA,29.7589382,-95.3676974,48201,[49911]
4568026,Jack,Mashburn,LSU,237,75,82.0,3,TE,Covington,LA,USA,30.4754702,-90.1009108,21117,[]
4568685,Brian,Balestra,LSU,310,76,53.0,1,OL,New Orleans,LA,USA,29.9499323,-90.0701156,22071,[]
4569606,Trey,Finison,LSU,188,70,46.0,4,PK,Tuscaloosa,AL,USA,33.2095614,-87.5675258,01125,[]
4570294,Mekhi,Garner,LSU,217,74,2.0,3,CB,Mesquite,TX,USA,32.7666103,-96.599472,48113,[]
4570644,Peyton,Todd,LSU,242,77,38.0,1,P,West Monroe,LA,USA,32.5184775,-92.1476353,22073,[72982]
4586333,Mekhi,Wingo,LSU,295,72,92.0,2,DL,Saint Louis,MO,USA,38.6264178,-90.1998378,29510,[72386]
4587724,West,Weeks,LSU,238,75,33.0,2,LB,Watkinsville,GA,USA,33.8628959,-83.4087709,13219,[72321]
4595348,Malik,Nabers,LSU,195,72,8.0,2,WR,Youngsville,LA,USA,30.0996471,-91.9901206,22055,[71710]
4603186,Jack,Bech,LSU,215,74,80.0,2,WR,Lafayette,LA,USA,30.2240897,-92.0198427,22055,[71805]
4603189,Sai'vion,Jones,LSU,250,78,35.0,2,DE,Vacherie,LA,USA,30.0110358,-90.7195356,22093,[]
4608890,Miles,Frazier,LSU,323,78,70.0,2,OL,Camden,NJ,USA,39.9448402,-75.1198911,34007,[65894]
4611385,Kolbe,Fields,LSU,218,72,25.0,1,LB,New Orleans,LA,USA,29.9499323,-90.0701156,22071,[72430]
4683409,Damarius,McGhee,LSU,170,72,26.0,2,CB,Pensacola,FL,USA,30.421309,-87.2169149,12033,[71642]
4685298,Will,Campbell,LSU,325,78,66.0,1,OL,Monroe,LA,USA,32.5093109,-92.1193012,22073,[90139]
4685391,Walker,Howard,LSU,195,73,14.0,1,QB,Lafayette,LA,USA,30.2240897,-92.0198427,22055,[90144]
4685395,Tygee,Hill,LSU,300,75,95.0,1,DT,New Orleans,LA,USA,29.9499323,-90.0701156,22071,[90639]
4685502,Harold,Perkins Jr.,LSU,220,74,40.0,1,LB,Cypress,TX,USA,29.9691116,-95.6971686,48201,[90111]
