id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
148866,Brogan,Brown,Marshall,215.0,72.0,37.0,1,LB,Hurricane,WV,USA,38.4325896,-82.0201368,54079,[]
4035725,Anthony,Watts,Marshall,294.0,76.0,19.0,4,DL,Houston,TX,USA,29.7589382,-95.3676974,48201,[37035]
4240022,Khalan,Laborn,Marshall,212.0,71.0,8.0,6,RB,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,[38653]
4249034,Isaiah,Norman,Marshall,205.0,73.0,8.0,6,S,Memphis,TN,USA,35.1490215,-90.0516285,47157,[41688]
4250510,Andre,Sam,Marshall,180.0,73.0,20.0,6,S,Iowa,LA,USA,30.2368772,-93.0137569,22019,[]
4259219,Henry,Colombi,Marshall,220.0,75.0,3.0,4,QB,Hollywood,FL,USA,26.0112014,-80.1494901,12011,[39871]
4259583,Damion,Barber,Marshall,285.0,75.0,89.0,4,DL,Harrisburg,PA,USA,40.2663107,-76.8861122,42043,[38917]
4261917,Stone,Scarcelle,Marshall,201.0,73.0,19.0,6,WR,Royersford,PA,USA,40.1842688,-75.5379639,42091,[]
4261919,Zach,Appio,Marshall,209.0,71.0,48.0,6,LS,Normal,IL,USA,40.5117699,-88.9944815,17113,[]
4261924,Kendrick,Sartor,Marshall,316.0,79.0,56.0,6,OL,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,[]
4261933,Devin,Miller,Marshall,234.0,75.0,83.0,6,TE,Metuchen,NJ,USA,40.5431598,-74.3632049,34023,[40148]
4261934,Jacob,Kirkendoll,Marshall,254.0,77.0,79.0,6,OL,Salt Rock,WV,USA,38.3231434,-82.2209772,54011,[]
4370342,Koby,Cumberlander,Marshall,235.0,75.0,32.0,4,DL,Roswell,GA,USA,34.02332,-84.360022,13121,[40161]
4370348,Corey,Gammage,Marshall,220.0,76.0,7.0,3,WR,Delray Beach,FL,USA,26.4614625,-80.0728201,12099,[43652]
4370353,Talik,Keaton,Marshall,191.0,73.0,1.0,3,WR,Sarasota,FL,USA,27.3364347,-82.5306527,12115,[44424]
4370358,Caleb,McMillan,Marshall,201.0,75.0,5.0,3,WR,Orlando,FL,USA,28.5421109,-81.3790304,12095,[45403]
4370359,Owen,Porter,Marshall,240.0,75.0,55.0,3,DL,Huntington,WV,USA,38.4192496,-82.445154,54011,[45284]
4370363,Dalton,Tucker,Marshall,325.0,79.0,68.0,3,OL,Paris,KY,USA,38.2097987,-84.2529869,21017,[45628]
4374337,Sam,Burton,Marshall,247.0,74.0,,3,DL,Boca Raton,FL,USA,26.3586885,-80.0830984,12099,[46150]
4374338,Steven,Gilmore,Marshall,170.0,72.0,3.0,4,DB,Rock Hill,SC,USA,34.9248667,-81.0250784,45091,[44173]
4383187,Joshua,Bowers,Marshall,187.0,72.0,10.0,4,DB,Bradenton,FL,USA,27.4989278,-82.5748194,12081,[65862]
4384540,Jace,Bobo,Marshall,221.0,73.0,9.0,4,LB,Houston,TX,USA,29.7589382,-95.3676974,48201,[45262]
4426555,Elijah,Alston,Marshall,264.0,75.0,2.0,2,DL,Chesapeake,VA,USA,36.7183708,-76.2466798,51550,[49151]
4426569,J'Coryan,Anderson,Marshall,232.0,74.0,25.0,3,LB,Knoxville,TN,USA,35.9603948,-83.9210261,47093,[49309]
4426712,Tristen,Bittner,Marshall,320.0,77.0,77.0,2,OL,Wheeling,WV,USA,40.0639616,-80.7209149,54069,[48940]
4427166,Steven,Faucheux,Marshall,293.0,77.0,54.0,2,OL,West Chester,OH,USA,39.3303357,-84.408275,39017,[47191]
4427563,Micah,Abraham,Marshall,179.0,74.0,6.0,3,DB,Tampa,FL,USA,27.9477595,-82.458444,12057,[48918]
4428098,Eli,Neal,Marshall,228.0,74.0,24.0,3,LB,Memphis,TN,USA,35.1490215,-90.0516285,47157,[]
4429628,Daniel,Foster,Marshall,220.0,75.0,11.0,2,LB,Riviera Beach,FL,USA,26.7753405,-80.0580969,12099,[67996]
4430513,Rahmod,Smith,Marshall,239.0,77.0,88.0,3,TE,Florida City,FL,USA,25.4480101,-80.479102,12086,[48934]
4430746,Daytione,Smith,Marshall,184.0,75.0,13.0,2,DB,Highland Springs,VA,USA,37.5460121,-77.3278441,51087,[63957]
4431554,Dink,Jackson,Marshall,213.0,73.0,28.0,1,DB,Melbourne,FL,USA,28.0836269,-80.6081089,12009,[]
4431632,Caleb,Coombs,Marshall,186.0,71.0,85.0,1,WR,Leesburg,VA,USA,39.1154496,-77.5645446,51107,[71974]
4454902,Isaiah,Gibson Sr.,Marshall,310.0,75.0,99.0,2,DL,Springfield,OH,USA,39.9242266,-83.8088172,39023,[47420]
4567467,Trent,Holler,Marshall,311.0,74.0,55.0,2,OL,Latrobe,PA,USA,40.317287,-79.3840301,42129,[48617]
4567545,Jayden,Harrison,Marshall,201.0,71.0,2.0,2,WR,Nashville,TN,USA,36.1622296,-86.7743531,47037,[47726]
4570102,Harshan,Sachdeva,Marshall,251.0,76.0,95.0,2,DL,Bakersfield,CA,USA,35.3738712,-119.0194639,06029,[]
4571627,Ethan,Driskell,Marshall,314.0,81.0,52.0,3,OL,Louisville,KY,USA,38.2542376,-85.759407,21111,[]
4571630,Logan,Osburn,Marshall,300.0,75.0,65.0,2,OL,Ona,WV,USA,38.4248088,-82.2132003,54011,[]
4571636,Esaias,Carpenter,Marshall,293.0,76.0,90.0,6,DL,Wichita,KS,USA,37.6922361,-97.3375448,20173,[]
4573542,Marcus,Velez,Marshall,252.0,78.0,89.0,2,TE,East Setauket,NY,USA,40.9418427,-73.1058559,36103,[]
4575439,Asher,King,Marshall,206.0,74.0,46.0,1,P,Westfield,IN,USA,40.0428151,-86.1274888,18057,[]
4575500,E.J.,Jackson,Marshall,187.0,74.0,21.0,3,S,Belle Glade,FL,USA,26.6845104,-80.6675577,12099,[]
4575883,Kerion,Martin,Marshall,211.0,74.0,22.0,2,S,Charleston,WV,USA,38.3505995,-81.6332812,54039,[63877]
