id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4038547,Austin,Myers,Memphis,299,76,55,4,OL,Manvel,TX,USA,29.4664706,-95.355714,48039,[35416]
4240073,Rodney,Owens,Memphis,180,72,30,4,DB,Goodlettsville,TN,USA,36.334911500000004,-86.70533913302022,47165,[39780]
4241730,Tyler,Murray,Memphis,215,74,5,4,LB,Baldwin,FL,USA,30.3027384,-81.9753865,12031,[41339]
4242456,Joe,Doyle,Memphis,199,73,17,4,P,Knoxville,TN,USA,35.9603948,-83.9210261,47093,[40837]
4243369,Marquavius,Weaver,Memphis,211,70,26,4,RB,Bartlett,TN,USA,35.2045329,-89.8739753,47157,[]
4243373,Xavier,Cullens,Memphis,225,73,8,4,LB,Ecru,MS,USA,34.3531595,-89.0231192,28115,[]
4248250,Ryan,Glover,Memphis,215,73,1,4,QB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[]
4259440,Chris,Howard,Memphis,212,73,12,4,PK,Ponte Vedra Beach,FL,USA,30.2396865,-81.3856384,12109,[]
4269917,John,Hassell,Memphis,240,75,13,4,TE,Collierville,TN,USA,35.042036,-89.6645266,47157,[]
4361041,Cincir,Evans,Memphis,215,76,3,4,LB,Memphis,TN,USA,35.1490215,-90.0516285,47157,[44262]
4361333,Asa,Martin,Memphis,200,71,28,4,RB,Courtland,AL,USA,34.6689794,-87.3094649,01079,[43109]
4361527,Eddie,Lewis,Memphis,192,71,18,4,WR,New York,NY,USA,40.7127281,-74.0060152,36061,"[39283, 43767]"
4361715,Joe,Norwood,Memphis,184,71,31,3,DB,Chattanooga,TN,USA,35.0457219,-85.3094883,47065,[43827]
4361736,Joseph,Scates,Memphis,205,75,11,3,WR,Dayton,OH,USA,39.7589478,-84.1916069,39113,[43173]
4371731,Quindell,Johnson,Memphis,195,73,15,4,DB,New Orleans,LA,USA,29.9499323,-90.0701156,22071,[44618]
4371740,Jaylon,Allen,Memphis,238,74,22,4,DL,Humble,TX,USA,29.9988312,-95.2621553,48201,[44753]
4396469,Anthony,Ballard Jr.,Memphis,230,72,36,4,LB,Milan,TN,USA,35.9197886,-88.7589489,47053,[46124]
4426363,Julian,Barnett,Memphis,189,74,2,3,DB,Detroit,MI,USA,42.3315509,-83.0466403,26163,[46853]
4427375,Cormontae,Hamilton,Memphis,265,74,12,2,DL,Memphis,TN,USA,35.1490215,-90.0516285,47157,[47380]
4429178,Joel,Williams,Memphis,203,73,41,2,DB,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,[61927]
4429367,Geoffrey,Cantin-Arku,Memphis,220,76,9,3,LB,Levis,PQ,Canada,,,,[67965]
4429406,An'Darius,Coffey,Memphis,181,72,10,2,RB,Winona,MS,USA,33.4820678,-89.7281369,28097,[62694]
4429791,Ira,Henry III,Memphis,314,76,74,2,OL,Saint Louis,MO,USA,38.6264178,-90.1998378,29510,[47711]
4430022,Anthony,Landphere,Memphis,253,77,82,2,TE,Mountain View,CA,USA,37.3893889,-122.0832101,06085,[48730]
4431074,Jevyon,Ducker,Memphis,185,70,8,2,RB,Bellevue,NE,USA,41.1366494,-95.8907373,31153,[62639]
4431597,Roc,Taylor,Memphis,225,74,3,2,WR,Oxford,AL,USA,33.5853695,-85.91428175037092,01121,[71894]
4432381,Andrew,Mason,Memphis,165,70,16,2,WR,Spring Hill,TN,USA,35.751179,-86.9300023,47119,[63735]
4565301,Marcayll,Jones,Memphis,170,69,6,2,WR,Warner Robins,GA,USA,32.6200973,-83.606568,13153,[62770]
4565788,Brackston,Alford,Memphis,287,76,54,2,OL,Knoxville,TN,USA,35.9603948,-83.9210261,47093,[62974]
4567503,Drew,Martin,Memphis,230,75,40,3,DL,North Little Rock,AR,USA,34.769536,-92.2670941,05119,[48232]
4567505,Gabriel,Rogers,Memphis,190,72,9,4,WR,Jackson,MS,USA,32.2990384,-90.1847691,28049,[]
4567507,Rodrigues,Clark,Memphis,200,72,2,4,RB,Starkville,MS,USA,33.4503998,-88.8183872,28105,[47933]
4567511,Harold,Nash III,Memphis,195,71,39,3,DB,West Bloomfield,MI,USA,42.5679,-83.3733,36069,[]
4567522,Jacob,Likes,Memphis,280,74,70,3,OL,Memphis,TN,USA,35.1490215,-90.0516285,47157,[48865]
4567523,Matt,Dale,Memphis,320,78,75,4,OL,Raymond,MS,USA,32.2593146,-90.4225951,28049,[]
4567525,Javon,Ivory,Memphis,180,74,4,3,WR,Grove Hill,AL,USA,31.7087681,-87.7772218,01025,[49246]
4567528,Wardalis,Ducksworth,Memphis,246,76,97,4,DL,Mize,MS,USA,31.8684927,-89.5559024,28129,[]
4570888,Davion,Ross,Memphis,165,69,1,3,DB,Warner Robins,GA,USA,32.6200973,-83.606568,13153,[]
4571313,Rush,Lansdell,Memphis,190,75,32,2,DB,Columbia,TN,USA,35.6150716,-87.0352831,47119,[]
4574773,Michael,Denson,Memphis,275,77,72,4,OL,Rockwall,TX,USA,32.9312336,-96.4597089,48397,[]
4575841,Jonah,Gambill,Memphis,276,75,65,2,OL,Cartersville,GA,USA,34.1650972,-84.7999383,13015,[62973]
