id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4042118,Brandon,Moore,Nebraska,190,72,24.0,4,DB,Sanford,FL,USA,28.8117297,-81.2680345,12117,[37155]
4240788,Broc,Bando,Nebraska,295,77,73.0,4,OL,Lincoln,NE,USA,40.8088861,-96.7077751,31109,[39706]
4240798,Trent,Hixson,Nebraska,305,76,75.0,4,OL,Omaha,NE,USA,41.2587459,-95.9383758,31055,[42365]
4241798,Omar,Manning,Nebraska,225,76,5.0,4,WR,Lancaster,TX,USA,32.5920798,-96.7561083,48113,[65506]
4248371,Kevin,Williams Jr.,Nebraska,325,77,78.0,4,OL,Omaha,NE,USA,41.2587459,-95.9383758,31055,[]
4248617,Chris,Kolarevic,Nebraska,225,73,31.0,4,RB,Traverse City,MI,USA,44.7606441,-85.6165301,26055,[]
4250802,Chancellor,Brewington,Nebraska,220,75,82.0,4,TE,Lubbock,TX,USA,33.5635206,-101.879336,48303,[39368]
4258189,Oliver,Martin,Nebraska,200,73,89.0,4,WR,Coralville,IA,USA,41.6764044,-91.5804475,19103,[38795]
4259324,Travis,Vokolek,Nebraska,260,79,83.0,4,TE,Springfield,MO,USA,37.2166779,-93.2920373,29077,[40658]
4360127,Stephon,Wynn Jr.,Nebraska,305,75,90.0,3,DL,Anderson,SC,USA,34.5068601,-82.6506264,45007,[42981]
4361157,Jake,Archer,Nebraska,200,73,53.0,3,LB,Omaha,NE,USA,41.2587459,-95.9383758,31055,[]
4361160,Brody,Belt,Nebraska,185,69,32.0,3,WR,Omaha,NE,USA,41.2587459,-95.9383758,31055,[]
4361165,Braxton,Clark,Nebraska,195,76,11.0,3,DB,Orlando,FL,USA,28.5421109,-81.3790304,12095,[44008]
4361167,Colton,Feist,Nebraska,275,74,82.0,3,DL,Yutan,NE,USA,41.2450007,-96.3972475,31155,[]
4361181,Wyatt,Liewer,Nebraska,190,76,85.0,3,WR,O'Neill,NE,USA,42.4576984,-98.6478553,31089,[]
4361183,Matt,Masker,Nebraska,220,74,18.0,3,QB,Kearney,NE,USA,40.699478,-99.081858,31019,[]
4361186,Simon,Otte,Nebraska,205,74,34.0,3,DE,York,NE,USA,40.8680593,-97.5919166,31185,[]
4361188,Cameron,Pieper,Nebraska,250,76,91.0,3,LS,Lincoln,NE,USA,40.8088861,-96.7077751,31109,[]
4361191,Ryan,Schommer,Nebraska,260,77,54.0,3,DE,Norfolk,NE,USA,42.0283379,-97.4169964,31119,[]
4361195,Caleb,Tannor,Nebraska,220,75,2.0,4,DE,Stone Mountain,GA,USA,33.8080924,-84.1706273,13089,[43235]
4361343,Tyreke,Johnson,Nebraska,180,73,1.0,3,DB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,[42928]
4361857,Hunter,Anthony,Nebraska,325,78,77.0,3,OL,Tuttle,OK,USA,35.2908947,-97.8122658,40051,[43915]
4362073,Casey,Thompson,Nebraska,195,72,11.0,3,QB,Newcastle,OK,USA,35.2472869,-97.59976,40087,[43198]
4362486,Ochaun,Mathis,Nebraska,260,77,32.0,3,DE,Manor,TX,USA,30.3407629,-97.5569456,48453,[43653]
4363033,Anthony,Grant,Nebraska,200,71,23.0,3,RB,Buford,GA,USA,34.1206564,-84.0043513,13135,[43310]
4367895,Brady,Weas,Nebraska,250,74,55.0,4,LS,Whitefish Bay,WI,USA,43.1133445,-87.9000856,55079,[]
4382696,Timmy,Bleekrode,Nebraska,185,68,38.0,2,PK,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[]
4426407,Trey,Palmer,Nebraska,190,73,3.0,3,WR,Kentwood,LA,USA,30.9382358,-90.5089843,26081,[46908]
4426492,Noa,Pola-Gates,Nebraska,180,72,21.0,2,DB,Gilbert,AZ,USA,33.3527632,-111.7890373,04013,[46943]
4426493,Ezra,Miller,Nebraska,310,78,66.0,2,OL,Holstein,IA,USA,42.4891531,-95.545003,19093,[47150]
4426511,Nick,Henrich,Nebraska,225,75,42.0,2,LB,Omaha,NE,USA,41.2587459,-95.9383758,31055,[46942]
4426623,Brant,Banks,Nebraska,300,80,74.0,2,OL,Houston,TX,USA,29.7589382,-95.3676974,48201,[47650]
4426794,Omar,Brown,Nebraska,195,73,12.0,3,DB,Minneapolis,MN,USA,44.9772995,-93.2654692,27053,[48181]
4427163,Myles,Farmer,Nebraska,200,75,4.0,2,DB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[47497]
4427463,Chris,Hickman,Nebraska,215,77,87.0,2,TE,Omaha,NE,USA,41.2587459,-95.9383758,31055,[47241]
4427471,Bryce,Benhart,Nebraska,315,81,54.0,2,OL,Lakeville,MN,USA,44.650051,-93.2432791,27037,[46949]
4427609,Rahmir,Johnson,Nebraska,185,70,14.0,2,RB,Oradell,NJ,USA,40.9543943,-74.0308504,34003,[47230]
