id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4247548,Barney,Amor,Penn State,192.0,73.0,96.0,4,P,Doylestown,PA,USA,40.3100446,-75.1304588,42017,[]
4259592,Sean,Clifford,Penn State,212.0,74.0,14.0,4,QB,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,[38815]
4259606,Chris,Stoll,Penn State,262.0,74.0,91.0,4,LS,Westerville,OH,USA,40.126139,-82.9295287,39049,[]
4259608,Jonathan,Sutherland,Penn State,211.0,71.0,,4,LB,Ottawa,ON,CAN,,,,[38897]
4361410,Bryce,Effner,Penn State,287.0,77.0,72.0,4,OL,Aurora,IL,USA,41.7571701,-88.3147539,17089,[43542]
4361416,Charlie,Katshir,Penn State,230.0,75.0,45.0,4,LB,Camp Hill,PA,USA,40.2398118,-76.9199742,42041,[43449]
4361421,PJ,Mustipher,Penn State,321.0,76.0,97.0,4,DT,Owings Mills,MD,USA,39.4010753,-76.796299,24005,[42985]
4361424,Jake,Pinegar,Penn State,200.0,74.0,92.0,4,PK,Ankeny,IA,USA,41.7318715,-93.6003837,19153,[44740]
4361425,Juice,Scruggs,Penn State,310.0,75.0,70.0,4,OL,Ashtabula,OH,USA,41.865054,-80.789809,39007,[43140]
4361428,Nick,Tarburton,Penn State,269.0,75.0,46.0,4,DE,Green Lane,PA,USA,40.3367674,-75.4690674,42091,[43177]
4367645,Hunter,Nourzad,Penn State,315.0,75.0,64.0,4,OL,Marietta,GA,USA,33.9528472,-84.5496148,13067,[]
4373619,Cody,Romano,Penn State,223.0,74.0,48.0,4,LB,Newton,NJ,USA,41.0582103,-74.7530943,34037,[]
4382653,Grayson,Kline,Penn State,254.0,77.0,89.0,4,TE,Sinking Spring,PA,USA,40.3246704,-76.0171505,42011,[]
4426372,Adisa,Isaac,Penn State,249.0,76.0,20.0,3,DE,Brooklyn,NY,USA,40.6501038,-73.9495823,36047,[46888]
