id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4240717,Gabe,Houy,Pittsburgh,325,78,57.0,4,OL,Pittsburgh,PA,USA,40.4416941,-79.9900861,42003,[39790]
4240718,Owen,Drexel,Pittsburgh,305,75,60.0,4,OL,Montclair,NJ,USA,40.8164458,-74.2210643,34013,[40003]
4240723,Carter,Warren,Pittsburgh,325,77,77.0,4,OL,Paterson,NJ,USA,40.9167654,-74.171811,34031,[39074]
4240728,Deslin,Alexandre,Pittsburgh,275,76,5.0,4,DL,Pompano Beach,FL,USA,26.2378597,-80.1247667,12011,[39743]
4241944,Marcus,Minor,Pittsburgh,325,76,55.0,4,OL,Lanham,MD,USA,38.9670551,-76.8619166,24033,[38850]
4247961,Derek,Kyler,Pittsburgh,180,72,16.0,4,QB,DeKalb,IL,USA,41.9294736,-88.7503647,17037,[]
4248201,Myles,Canton,Pittsburgh,210,73,39.0,4,LB,Hyattsville,MD,USA,38.9529442,-76.9408647,24033,[]
4361734,Jake,Kradel,Pittsburgh,305,75,53.0,4,OL,Butler,PA,USA,40.8610205,-79.8952251,42019,[43589]
4372765,C'Bo,Flemister,Pittsburgh,200,71,24.0,4,RB,Williamson,GA,USA,33.1823419,-84.3615902,13231,[44106]
4372778,Shayne,Simon,Pittsburgh,235,75,32.0,4,LB,West Orange,NJ,USA,40.7987113,-74.2390353,34013,[42997]
4373311,David,Green,Pittsburgh,280,73,2.0,4,DL,West Mifflin,PA,USA,40.3634026,-79.8664375,42003,[43869]
4373312,John,Morgan III,Pittsburgh,265,74,6.0,4,DL,Upper Marlboro,MD,USA,38.8165274,-76.7519753,24033,[43592]
4373314,Nick,Patti,Pittsburgh,225,75,12.0,4,QB,Hillsdale,NJ,USA,41.0025975,-74.0404175,34003,[43666]
4373315,Marquis,Williams,Pittsburgh,180,69,14.0,4,DB,Pompano Beach,FL,USA,26.2378597,-80.1247667,12011,[43742]
4373319,Judson,Tallandier II,Pittsburgh,185,74,,4,DB,Largo,MD,USA,38.8976121,-76.8302489,24033,[43783]
4373320,Erick,Hallett II,Pittsburgh,190,71,31.0,4,DB,Cypress,TX,USA,29.9691116,-95.6971686,48201,[43898]
4373328,Tyler,Bentley,Pittsburgh,300,74,92.0,4,DL,West Chester,OH,USA,39.3303357,-84.408275,39017,[43947]
4373332,Blake,Zubovic,Pittsburgh,320,76,68.0,4,OL,Belle Vernon,PA,USA,40.1250725,-79.8664356,42051,[43398]
4373335,Habakkuk,Baldonado,Pittsburgh,260,77,87.0,4,DL,Rome,,Italy,,,,[43792]
4373336,Devin,Danielson,Pittsburgh,300,74,95.0,4,DL,Pittsburgh,PA,USA,40.4416941,-79.9900861,42003,[43594]
4373337,Chris,Maloney,Pittsburgh,255,74,96.0,4,DL,Fort Washington,PA,USA,40.1399717,-75.210095,42091,[]
4383092,Dakota,Peters,Pittsburgh,295,78,62.0,4,OL,New Castle,PA,USA,40.9999202,-80.3471856,42073,[]
4426455,Ryan,Jacoby,Pittsburgh,305,76,61.0,3,OL,Mentor,OH,USA,41.6661573,-81.339552,39085,[47079]
4426774,Bam,Brima,Pittsburgh,275,77,57.0,3,DL,Worcester,MA,USA,42.2625932,-71.8022934,25027,[47874]
4427068,M.J.,Devonshire,Pittsburgh,190,71,12.0,3,DB,Aliquippa,PA,USA,40.6102386,-80.267726,42007,[]
4427298,Matt,Goncalves,Pittsburgh,315,78,76.0,3,OL,Manorville,NY,USA,40.862629999999996,-72.7859548411711,36103,[47473]
4427650,Deandre,Jules,Pittsburgh,310,75,90.0,3,DL,Germantown,MD,USA,39.1731621,-77.2716502,24031,[]
4427673,Calijah,Kancey,Pittsburgh,280,72,8.0,3,DL,Miami,FL,USA,25.7742658,-80.1936589,12086,[47646]
4427985,Bub,Means,Pittsburgh,215,74,15.0,2,WR,Lovejoy,GA,USA,33.4362245,-84.3143675,13063,[48686]
4428512,Kedon,Slovis,Pittsburgh,215,75,9.0,4,QB,Scottsdale,AZ,USA,33.4942189,-111.9260184,04013,[47501]
4428652,Nate,Temple,Pittsburgh,245,76,16.0,3,DL,Abbeville,SC,USA,34.1779495,-82.3792463,45001,[48396]
4428932,A.J.,Woods,Pittsburgh,195,71,25.0,4,DB,Germantown,MD,USA,39.1731621,-77.2716502,24031,[]
4428940,Kyi,Wright,Pittsburgh,265,75,3.0,3,TE,Farrell,PA,USA,41.212279,-80.496737,42085,[48206]
4429192,Jahvante,Royal,Pittsburgh,195,75,19.0,2,DB,Miramar,FL,USA,25.975911449999998,-80.33472128115224,12011,[62097]
4429202,Israel,Abanikanda,Pittsburgh,215,71,2.0,3,RB,Brooklyn,NY,USA,40.6501038,-73.9495823,36047,[61993]
4429247,Jaylon,Barden,Pittsburgh,175,71,10.0,3,WR,Lizella,GA,USA,32.8070842,-83.8199072,13021,[62070]
4429256,Rashad,Battle,Pittsburgh,200,75,15.0,3,DB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[62052]
4429511,SirVocea,Dennis,Pittsburgh,230,73,7.0,4,LB,Syracuse,NY,USA,43.0481221,-76.1474244,36067,[49920]
4429513,Dylan,Deveney,Pittsburgh,265,78,83.0,3,TE,Medford,NJ,USA,39.9009472,-74.8234961,34005,[48055]
4429914,Karter,Johnson,Pittsburgh,250,74,8.0,3,TE,Pickerington,OH,USA,39.896277299999994,-82.77319049748806,39045,[47156]
4429920,Dayon,Hayes,Pittsburgh,275,75,50.0,3,DL,Pittsburgh,PA,USA,40.4416941,-79.9900861,42003,"[61886, 74930]"
4430681,Jared,Wayne,Pittsburgh,210,75,5.0,4,WR,Peterborough,ON,CAN,,,,[48304]
4431065,Solomon,DeShields,Pittsburgh,230,74,34.0,2,LB,Millville,NJ,USA,39.4020593,-75.0393368,34011,[]
4431328,Rodney,Hammond Jr.,Pittsburgh,200,69,6.0,2,RB,Norfolk,VA,USA,36.8462923,-76.2929252,51710,[72041]
4431528,Elliot,Donald,Pittsburgh,265,74,94.0,1,DL,Pittsburgh,PA,USA,40.4416941,-79.9900861,42003,[71575]
4432249,Aydin,Henningham,Pittsburgh,225,74,47.0,2,LB,Delray Beach,FL,USA,26.4614625,-80.0728201,12099,[62256]
4432325,Bangally,Kamara,Pittsburgh,225,74,11.0,3,LB,Akron,OH,USA,41.083064,-81.518485,39153,[62146]
4432745,P.J.,O'Brien,Pittsburgh,185,72,22.0,2,DB,Pompano Beach,FL,USA,26.2378597,-80.1247667,12011,[]
4433914,Branson,Taylor,Pittsburgh,320,77,78.0,2,OL,Lorain,OH,USA,41.4673238,-82.1781904,39093,[62083]
4565554,Nahki,Johnson,Pittsburgh,260,74,4.0,1,DL,Pittsburgh,PA,USA,40.4416941,-79.9900861,42003,[71713]
4566158,Ben,Sauls,Pittsburgh,185,70,90.0,2,PK,Tipp City,OH,USA,39.9583892,-84.1721638,39109,[64560]
4568658,Daniel,Carter,Pittsburgh,240,70,4.0,3,RB,Margate,FL,USA,26.242509,-80.21414780863701,12011,[47411]
4568659,Jason,Collier Jr.,Pittsburgh,325,78,50.0,3,OL,West Deptford,NJ,USA,39.8271755,-75.1235892,34015,[47633]
4568660,Vincent,Davis,Pittsburgh,180,68,22.0,4,RB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,[47652]
4568661,Brandon,George,Pittsburgh,245,75,30.0,4,LB,Bernville,PA,USA,40.433426,-76.1121648,42011,[47574]
4568662,Brandon,Hill,Pittsburgh,195,71,9.0,3,DB,Apopka,FL,USA,28.6779683,-81.5115214,12095,[47441]
4570072,Dante,Caputo,Pittsburgh,190,71,45.0,3,DB,Pittsburgh,PA,USA,40.4416941,-79.9900861,42003,[]
4572498,Tylar,Wiltz,Pittsburgh,210,73,10.0,3,LB,Breaux Bridge,LA,USA,30.2735323,-91.8992837,22099,[]
