id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
146583,John,Adams,Temple,185,74,44,1,WR,Deptford,NJ,USA,39.8271755,-75.1235892,34015,[]
4240506,Adonicas,Sanders,Temple,190,73,5,4,WR,North Charleston,SC,USA,32.9131295,-80.0629981965219,45019,[40968]
4240667,Xach,Gill,Temple,300,77,91,4,DL,Wake Forest,NC,USA,35.9803138,-78.5103731,37183,[39028]
4242271,Cameron,Ruiz,Temple,185,71,19,4,CB,Lake Villa,IL,USA,42.4169651,-88.0739708,17097,[39714]
4249332,Luke,Foster,Temple,295,75,61,4,OL,Easley,SC,USA,34.8269276,-82.5817053,45077,[]
4360236,Iverson,Clement,Temple,192,71,22,3,CB,Mount Holly,NJ,USA,39.9928898,-74.7876624,34005,[43236]
4360370,Jakari,Norwood,Temple,195,70,29,3,RB,Pompano Beach,FL,USA,26.2378597,-80.1247667,12011,[45075]
4360390,Jacob,Hollins,Temple,220,73,12,3,LB,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,[45358]
4360418,Peace,Addo,Temple,325,78,75,3,OL,Silver Spring,MD,USA,38.9959461,-77.0276231,24031,[44398]
4360974,Kadas,Reams,Temple,185,74,12,4,WR,New Brunswick,NJ,USA,40.4862174,-74.4518173,34023,[45060]
4360975,Layton,Jordan,Temple,220,74,13,3,LB,Mckeesport,PA,USA,40.3478472,-79.864215,42003,[45086]
4360977,DaeSean,Winston,Temple,205,74,16,4,S,Severn,MD,USA,39.1278864,-76.6869128,24003,[67937]
4360978,David,Martin-Robinson,Temple,255,76,82,3,TE,Landisville,PA,USA,40.0951196,-76.4101958,42071,[44414]
4360979,Jose,Barbon,Temple,185,72,10,4,WR,Lancaster,PA,USA,40.03813,-76.3056686,42071,[45500]
4360982,Elijah,Clark,Temple,195,75,20,3,CB,Sayreville,NJ,USA,40.4592726,-74.3609822,34023,[44832]
4360988,Isaac,Moore,Temple,300,79,63,4,OL,Orebro,,Sweden,,,,"[45311, 67941]"
4360991,Adam,Klein,Temple,293,77,74,4,OL,Springfield,PA,USA,39.9306677,-75.3201879,42045,[44842]
4360993,Jordan,Smith,Temple,230,77,84,3,TE,Davie,FL,USA,26.075729,-80.28410897530864,12011,[44841]
4360995,Evan,Boozer,Temple,250,76,69,4,DL,Hunt Valley,MD,USA,39.4962709,-76.6542571,24005,[44603]
4361492,Amad,Anderson Jr.,Temple,165,71,15,3,WR,Staten Island,NY,USA,40.564209,-74.12530461995391,36085,[43380]
4361959,Quincy,Patterson,Temple,235,75,16,3,QB,Chicago,IL,USA,41.8755616,-87.6244212,17031,[43182]
4362149,Keyshawn,Paul,Temple,195,71,24,4,CB,Miami,FL,USA,25.7742658,-80.1936589,12086,[45323]
4362613,Jerquavion,Mahone,Temple,290,76,17,3,DL,Manchester,GA,USA,32.8598538,-84.6199251,13199,[43905]
4373235,Camden,Price,Temple,175,73,35,4,PK,Severn,MD,USA,39.1278864,-76.6869128,24003,[]
4373277,Lancine,Turay,Temple,250,78,58,3,LB,Newark,NJ,USA,40.735657,-74.1723667,34013,[44018]
4379522,Mackenzie,Morgan,Temple,215,74,94,4,P,Trigg,,Australia,,,,[]
4385466,DeJuan,Dandridge,Temple,195,73,35,4,S,Darby Township,PA,USA,39.9184461,-75.2590721,42045,[]
4426830,Nazir,Burnett,Temple,165,72,19,2,WR,Harrisburg,PA,USA,40.2663107,-76.8861122,42043,[48026]
4427152,Kwesi,Evans,Temple,195,75,83,2,WR,Parkville,MD,USA,39.3773292,-76.5396875,24005,[48474]
4427914,D'Wan,Mathis,Temple,210,78,11,2,QB,Belleville,MI,USA,42.2048414,-83.4852106,17163,[67960]
