id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4240858,Hendon,Hooker,Tennessee,218,76,5.0,4,QB,Greensboro,NC,USA,36.0726355,-79.7919754,37081,[38952]
4242434,Cheyenne,Labruzza,Tennessee,200,71,23.0,4,DB,Albany,LA,USA,30.5044,-90.5823,36001,[39046]
4242442,Princeton,Fant,Tennessee,235,74,88.0,4,TE,Nashville,TN,USA,36.1622296,-86.7743531,47037,[39480]
4242446,LaTrell,Bumphus,Tennessee,290,75,11.0,4,DL,Savannah,TN,USA,35.2248034,-88.2492037,47071,[39084]
4242452,Solon,Page III,Tennessee,228,74,38.0,4,LB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[39217]
4242453,Nick,Humphrey,Tennessee,216,73,31.0,4,LB,Monroe,MI,USA,41.9145037,-83.3968252,26115,[]
4259641,Chase,McGrath,Tennessee,198,72,40.0,4,PK,Newport Beach,CA,USA,33.6170092,-117.9294401,06059,[39909]
4260251,Maurese,Smith,Tennessee,315,75,52.0,4,DL,Toney,AL,USA,34.8981432,-86.7336098,01089,[]
4270055,Grant,Frerking,Tennessee,224,77,,4,WR,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[]
4360314,Lyn-J,Dixon,Tennessee,195,70,23.0,4,RB,Butler,GA,USA,32.5570898,-84.2382482,13269,[43165]
4360698,Joe,Milton III,Tennessee,245,77,7.0,4,QB,Pahokee,FL,USA,26.8200607,-80.6653351,12099,[43111]
4365495,Austin,Lewis,Tennessee,270,78,96.0,4,DL,Jonesborough,TN,USA,36.2944928,-82.4734089,47179,[]
4369842,Trevon,Flowers,Tennessee,200,71,1.0,4,DB,Tucker,GA,USA,33.8532701,-84.2200729,13089,[43837]
4369844,Jeremy,Banks,Tennessee,224,73,33.0,4,LB,Cordova,TN,USA,35.1556451,-89.7761955,47157,[43301]
4369847,Paxton,Brooks,Tennessee,201,78,37.0,4,PK,Lexington,SC,USA,33.98390015,-81.22601082617007,45063,[44766]
4369859,Jerome,Carvin,Tennessee,321,77,75.0,4,OL,Memphis,TN,USA,35.1490215,-90.0516285,47157,[43282]
4369860,Ollie,Lane,Tennessee,325,76,78.0,4,OL,Corryton,TN,USA,36.1536937,-83.7824062,47093,[43795]
4369862,Kurott,Garland,Tennessee,310,75,99.0,4,DL,Conyers,GA,USA,33.6676103,-84.0176904,13247,[44073]
4369863,Cedric,Tillman,Tennessee,215,75,4.0,4,WR,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,[44584]
4369864,Jacob,Warren,Tennessee,250,78,87.0,4,TE,Knoxville,TN,USA,35.9603948,-83.9210261,47093,[43627]
4426337,Bru,McCoy,Tennessee,220,75,15.0,3,WR,Palos Verdes Estates,CA,USA,33.7872386,-118.401813,06037,[46805]
4426358,Darnell,Wright,Tennessee,335,78,58.0,4,OL,Huntington,WV,USA,38.4192496,-82.445154,54011,[46806]
4426399,Ramel,Keyton,Tennessee,195,75,80.0,4,WR,Marietta,GA,USA,33.9528472,-84.5496148,13067,[46907]
4426465,Jackson,Lampley,Tennessee,320,76,50.0,3,OL,Nashville,TN,USA,36.1622296,-86.7743531,47037,[47028]
4426832,Warren,Burrell,Tennessee,190,72,4.0,4,DB,Suwanee,GA,USA,34.0514898,-84.0712997,13135,[47323]
4427120,Jaylen,McCollough,Tennessee,205,72,2.0,4,DB,Austell,GA,USA,33.8126059,-84.6343783,13067,[46952]
4427356,Kamal,Hadden,Tennessee,190,73,5.0,3,DB,River Rouge,MI,USA,42.2729262,-83.1352891,26163,[]
4427399,Roman,Harrison,Tennessee,244,74,30.0,4,DL,Bainbridge,GA,USA,30.9038252,-84.5754768,13087,[47105]
4428352,Trel,Riley,Tennessee,180,73,34.0,2,DB,Princeton,KY,USA,37.1092162,-87.8819595,21033,[]
4428637,Da'Jon,Terry,Tennessee,321,76,95.0,3,DL,Meridian,MS,USA,32.3643098,-88.703656,28075,[68000]
4429057,Omari,Thomas,Tennessee,320,76,21.0,3,DL,Memphis,TN,USA,35.1490215,-90.0516285,47157,[61658]
4429165,Len'Neth,Whitehead,Tennessee,220,74,27.0,2,RB,Athens,GA,USA,33.9597677,-83.376398,13059,[61780]
4429804,Jimmy,Calloway,Tennessee,190,72,9.0,2,WR,Morrow,GA,USA,33.5831662,-84.3393683,13063,[61776]
4430478,Elijah,Simmons,Tennessee,340,74,51.0,3,DL,Memphis,TN,USA,35.1490215,-90.0516285,47157,[47409]
4431142,Jimmy,Holiday,Tennessee,205,72,6.0,3,WR,Madison,MS,USA,32.4618086,-90.1153638,28089,[62105]
4431251,Cooper,Mays,Tennessee,296,75,63.0,3,OL,Knoxville,TN,USA,35.9603948,-83.9210261,47093,[61862]
