id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4036473,Logan,Bonner,Utah State,230,73,1.0,4,QB,Rowlett,TX,USA,32.9029017,-96.56388,48113,[37418]
4255990,Calvin,Tyler Jr.,Utah State,210,68,4.0,4,RB,Beaumont,TX,USA,30.0860459,-94.1018461,48245,[39657]
4258193,Phillip,Paea,Utah State,305,76,90.0,4,DT,Berrien Springs,MI,USA,41.9464336,-86.3388965,26021,[39078]
4258196,Hunter,Reynolds,Utah State,200,72,27.0,4,S,South Orange,NJ,USA,40.7474966,-74.2635376,34013,[]
4259225,Andre,Grayson,Utah State,160,68,21.0,4,CB,Rancho Cucamonga,CA,USA,34.1033192,-117.5751735,06071,[42650]
4259234,Connor,Coles,Utah State,220,72,59.0,4,PK,Bozeman,MT,USA,45.6794293,-111.0440474,30031,[]
4259237,Alfred,Edwards,Utah State,325,79,72.0,4,OL,Redlands,CA,USA,34.055735,-117.1888961,06071,[40075]
4259238,Chandler,Dolphin,Utah State,310,75,74.0,4,OL,Sandy,UT,USA,40.5664878,-111.838904,49035,[41816]
4361104,MJ,Tafisi,Utah State,235,72,2.0,3,LB,West Jordan,UT,USA,40.6096698,-111.9391031,49035,[43410]
4361185,Justin,McGriff,Utah State,215,78,10.0,4,WR,Tampa,FL,USA,27.9477595,-82.458444,12057,[]
4361448,Daniel,Grzesiak,Utah State,245,73,9.0,3,DE,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,[]
4361619,Wade,Meacham,Utah State,310,77,79.0,4,OL,Layton,UT,USA,41.0751048,-111.9741925,49011,[]
4362095,Byron,Vaughns,Utah State,225,76,11.0,3,DE,Fort Worth,TX,USA,32.753177,-97.3327459,48439,[43352]
4362510,Gurvan,Hall Jr.,Utah State,175,72,6.0,4,S,West Palm Beach,FL,USA,26.715364,-80.0532942,12099,[43091]
4362518,Patrick,Joyner Jr.,Utah State,245,75,,3,DE,Homestead,FL,USA,25.4718946,-80.4759905,12086,[43581]
4372015,Xavier,Williams,Utah State,180,72,3.0,3,WR,Hollywood,FL,USA,26.0112014,-80.1494901,12011,[43050]
4372041,Brian,Cobbs,Utah State,210,74,8.0,4,WR,Alexandria,VA,USA,38.8051095,-77.0470229,51510,[44000]
4374189,Michael,Anyanwu,Utah State,165,69,22.0,4,CB,Covina,CA,USA,34.1024,-117.85486499999999,06037,[46510]
4374196,Wyatt,Bowles,Utah State,290,77,60.0,4,OL,West Point,UT,USA,41.1182815,-112.0841225,49011,[46045]
4374199,Jacob,South,Utah State,290,78,78.0,4,OL,Anacortes,WA,USA,48.5020123,-122.6237356,53057,[45815]
4374203,Hale,Motu'apuaka,Utah State,280,73,8.0,4,DT,Honolulu,HI,USA,21.304547,-157.8556764,15003,[44707]
4428092,Jamie,Nance,Utah State,165,73,16.0,2,CB,Blanchard,OK,USA,35.1378428,-97.6580904,40087,[47226]
4428111,Kaleo,Neves,Utah State,195,73,23.0,3,LB,Provo,UT,USA,40.2338438,-111.6585337,49049,[49120]
4428520,Jaden,Smith,Utah State,170,69,39.0,3,CB,Richmond,TX,USA,29.5821811,-95.7607832,48157,[49054]
4428762,AJ,Vongphachanh,Utah State,230,74,10.0,4,LB,Pasco,WA,USA,46.2306739,-119.0921006,53021,[48888]
4428890,Levi,Williams,Utah State,230,77,16.0,2,QB,Canyon Lake,TX,USA,29.8643185,-98.2437802,48091,[48018]
4429379,Ajani,Carter,Utah State,195,72,12.0,4,CB,Houston,TX,USA,29.7589382,-95.3676974,48201,[48699]
4430033,Cooper,Legas,Utah State,215,73,5.0,3,QB,Orem,UT,USA,40.2971825,-111.694943,49049,[49068]
4430278,Jackson,Owens,Utah State,325,77,76.0,3,OL,Sandy,UT,USA,40.5664878,-111.838904,49035,[48659]
4430552,Anthony,Switzer,Utah State,210,72,1.0,3,LB,Marion,AR,USA,35.2145337,-90.1964836,05035,[50505]
4430570,Dominic,Tatum,Utah State,180,75,4.0,3,S,Culver City,CA,USA,34.0278787,-118.3888493,06037,[48831]
4433821,John,Gentry,Utah State,195,70,2.0,3,RB,Houston,TX,USA,29.7589382,-95.3676974,48201,[62298]
4569436,John,Ward,Utah State,245,76,42.0,2,DE,Palmdale,CA,USA,34.5793131,-118.1171108,06037,[47379]
4569560,Jordan,Wilmore,Utah State,200,68,23.0,3,RB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,[47159]
4569986,Kyle,Van Leeuwen,Utah State,175,69,9.0,3,WR,Provo,UT,USA,40.2338438,-111.6585337,49049,[41146]
4569989,Addison,Trupp,Utah State,230,74,46.0,3,DE,Salt Lake City,UT,USA,40.7596198,-111.8867975,49035,[]
4574860,Kyrese,Rowan,Utah State,175,70,26.0,2,WR,Ogden,UT,USA,41.2230048,-111.9738429,49057,[]
4575457,Pailate,Makakona,Utah State,210,70,29.0,4,RB,West Valley City,UT,USA,40.696629,-111.9867271,49035,[]
4577794,Jacob,Garcia,Utah State,250,72,49.0,2,LS,Anaheim,CA,USA,33.8347516,-117.911732,06059,[65283]
4593005,Cole,Joyce,Utah State,225,72,20.0,1,LB,Bentonville,AR,USA,36.3728538,-94.2088172,05007,[72373]
4597527,Poukesi,Vakauta,Utah State,290,72,96.0,3,DT,Euless,TX,USA,32.8457865,-97.0667142473263,48439,[62951]
4601941,Ike,Larsen,Utah State,175,70,19.0,1,S,Smithfield,UT,USA,41.838429,-111.8328045,49005,[]
4606179,Stephen,Kotsanlee,Utah State,215,73,63.0,3,P,Melbourne,VIC,Australia,,,,"[65446, 75263]"
4607451,Luke,Marion,Utah State,180,72,17.0,2,S,Tualatin,OR,USA,45.3838546,-122.7663518,41067,[63291]
4612824,Broc,Lane,Utah State,240,76,87.0,2,TE,Gilbert,AZ,USA,33.3527632,-111.7890373,04013,[63825]
4613199,Josh,Sterzer,Utah State,235,75,83.0,3,TE,Salt Lake City,UT,USA,40.7596198,-111.8867975,49035,[]
4683108,Parker,Buchanan,Utah State,240,77,85.0,1,TE,Brigham City,UT,USA,41.5103717,-112.0155619,49003,[73655]
4686918,Xavion,Steele,Utah State,170,69,7.0,4,CB,Hemet,CA,USA,33.7475203,-116.9719684,06065,[65691]
4686920,Quinton,Hadnot,Utah State,185,72,13.0,2,WR,San Marcos,CA,USA,33.1433723,-117.1661449,06073,[]
4686921,Cooper,Jones,Utah State,160,66,31.0,4,RB,Elko,NV,USA,40.8440695,-115.7527417,32007,[]
4686926,Cole,Motes,Utah State,295,77,56.0,2,OL,Thatcher,AZ,USA,32.8492323,-109.7592479,04009,[]
4686929,Falepule,Alo,Utah State,285,74,69.0,3,OL,Salt Lake City,UT,USA,40.7596198,-111.8867975,49035,[]
4686932,Garrett,Walchli,Utah State,160,68,88.0,2,WR,Hermiston,OR,USA,45.8404101,-119.2894605,41059,[]
4687469,Wes,Wright,Utah State,200,73,37.0,3,LB,Manti,UT,USA,39.2682951,-111.6368627,49039,[]
4689122,Weylin,Lapuaho,Utah State,310,76,61.0,1,OL,South Jordan,UT,USA,40.5621704,-111.929658,49035,[91379]
4691055,Elliott,Nimrod,Utah State,180,72,89.0,2,PK,Bentonville,AR,USA,36.3728538,-94.2088172,05007,[]
4698066,Garrett,Larson,Utah State,210,75,14.0,2,QB,Kaysville,UT,USA,41.0349847,-111.9383931,49011,[]
4698440,Austin,Leausa,Utah State,315,77,66.0,2,OL,West Jordan,UT,USA,40.6096698,-111.9391031,49035,[]
4710799,Johnson,Hansen,Utah State,295,75,56.0,1,DT,Salt Lake City,UT,USA,40.7596198,-111.8867975,49035,[]
4710802,Sione,Moa,Utah State,220,73,40.0,1,LB,Ogden,UT,USA,41.2230048,-111.9738429,49057,[]
4710805,Seni,Tuiaki,Utah State,270,73,48.0,1,DT,Salt Lake City,UT,USA,40.7596198,-111.8867975,49035,[]
4714413,Otto,Tia,Utah State,220,76,15.0,1,WR,Layton,UT,USA,41.0751048,-111.9741925,49011,[]
4730497,Ron,Tiavaasue,Utah State,270,75,11.0,3,TE,Auckland,,New Zealand,,,,[]
4775239,Ty,Barnett,Utah State,165,71,24.0,1,CB,Ogden,UT,USA,41.2230048,-111.9738429,49057,[]
4781743,Chase,Tuatagaloa,Utah State,215,76,12.0,1,QB,Orem,UT,USA,40.2971825,-111.694943,49049,[92017]
4784600,Bryce,Radford,Utah State,305,78,75.0,1,OL,Hyde Park,UT,USA,41.79897,-111.81914,49005,[91946]
4799990,Jett,Solomon,Utah State,190,70,25.0,1,S,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,[92108]
4826575,Saco,Alofipo,Utah State,165,69,34.0,1,S,Henderson,NV,USA,36.0301134,-114.9826194,32003,[92028]
4869552,Robert,Briggs,Utah State,175,66,22.0,1,RB,Bellville,TX,USA,29.9502253,-96.2571858,48015,[91884]
4869553,Bishop,Davenport,Utah State,180,74,7.0,1,QB,Spring,TX,USA,30.0798826,-95.4172549,48201,[91748]
4875617,NyNy,Davis,Utah State,155,68,6.0,1,WR,Attalla,AL,USA,34.0217639,-86.0885851,01055,[]
4875623,Bo,Maile,Utah State,275,74,44.0,1,DT,South Jordan,UT,USA,40.5621704,-111.929658,49035,[]
4875624,Calvin,Knapp,Utah State,280,76,77.0,3,OL,Jackson,WI,USA,,,,[]
4875627,Aurion,Peoples,Utah State,305,74,99.0,4,DT,Compton,CA,USA,33.894927,-118.226624,06037,[]
4878106,Max,Alford,Utah State,230,73,33.0,1,LB,Park City,UT,USA,40.6460635,-111.4979741,49043,[92099]
4878108,Paul,Fitzgerald,Utah State,230,75,32.0,1,DE,Idaho Falls,ID,USA,43.4935245,-112.0400919,16019,[91992]
4880442,Dusten,Ramseyer-Burdett,Utah State,180,71,36.0,3,S,Anahola,HI,USA,,,,[]
4889788,Enoka,Migao,Utah State,245,76,45.0,1,DE,Temecula,CA,USA,33.4946353,-117.1473661,06065,[]
4894919,Timm,Van Leeuwen,Utah State,170,74,20.0,1,WR,Logan,UT,USA,41.7313447,-111.8348631,49005,[]
4900577,Jordan,Drew,Utah State,150,72,18.0,1,CB,Tulsa,OK,USA,36.1556805,-95.9929113,40143,[91643]
4912070,Adam,Tomczyk,Utah State,230,75,95.0,1,DT,Los Alamitos,CA,USA,33.8038865,-118.0772433,06059,[91634]
4912276,Josh,Williams,Utah State,200,73,30.0,1,LB,Mesquite,TX,USA,32.7666103,-96.599472,48113,[]
4912740,Elia,Migao,Utah State,330,74,73.0,1,OL,Temecula,CA,USA,33.4946353,-117.1473661,06065,[]
4917496,Malachi,Keels,Utah State,190,74,18.0,1,WR,Escondido,CA,USA,33.1216751,-117.0814849,06073,[]
4917504,Austin,Okerwa,Utah State,185,73,19.0,1,WR,Salt Lake City,UT,USA,40.7596198,-111.8867975,49035,[]
4917510,Tom,Turpin,Utah State,230,75,91.0,1,DE,Washington Terrace,UT,USA,,,,[]
5082614,Terrell,Vaughn,Utah State,170,67,,3,WR,Oxnard,CA,USA,34.1976308,-119.1803818,06111,[]
5082615,Bronson,Olevao,Utah State,215,73,14.0,1,LB,Salt Lake City,UT,USA,40.7596198,-111.8867975,49035,[]
5082616,Omari,Okeke,Utah State,190,74,5.0,1,LB,Bellflower,CA,USA,33.8825705,-118.1167679,06037,[]
5082617,Bailee,Davenport,Utah State,200,72,24.0,2,RB,Spring,TX,USA,30.0798826,-95.4172549,48201,[]
5082618,Lofa,Fonoti-Maikui,Utah State,190,73,28.0,1,LB,Layton,UT,USA,41.0751048,-111.9741925,49011,[]
5082619,Avery,Ellis,Utah State,230,73,41.0,1,LB,Royal City,WA,USA,46.9009701,-119.6305912,53025,[]
5082620,Ryan,Marks,Utah State,225,71,47.0,1,P,Farmington,UT,USA,40.9804423,-111.8874688,49011,[]
5082621,Caden,Kellow,Utah State,220,71,50.0,1,LS,Brentwood,TN,USA,36.0325687,-86.7825235,47187,[]
5082622,Sione,Motu'apuaka,Utah State,280,77,65.0,1,OL,Honolulu,HI,USA,21.304547,-157.8556764,15003,[]
5082623,Teague,Andersen,Utah State,280,77,70.0,1,OL,Lehi,UT,USA,40.3880902,-111.8491619,49049,[91923]
5082624,Ryder,MacGillivray,Utah State,180,73,84.0,1,WR,Provo,UT,USA,40.2338438,-111.6585337,49049,[]
5082626,Tavian,Coleman,Utah State,280,73,94.0,2,DT,Humble,TX,USA,29.9988312,-95.2621553,48201,[]
5082627,Josh,Davis,Utah State,185,73,21.0,1,WR,Carlsbad,CA,USA,33.1580933,-117.3505966,06073,[]
5082628,Adam,Pond,Utah State,245,77,67.0,1,OL,Lehi,UT,USA,40.3880902,-111.8491619,49049,[]
5082629,Quentin,Riley,Utah State,185,73,25.0,1,WR,Meridian,ID,USA,43.6086295,-116.392326,16001,[]
5082630,Jalen,Royals,Utah State,190,72,17.0,2,WR,Powder Springs,GA,USA,33.8595492,-84.683824,13067,[]
5085898,Nikita,Iuferov,Utah State,295,78,64.0,2,OL,Petrozavodsk,,Russia,,,,[]
5092462,Kingsley,Holiday,Utah State,295,74,68.0,2,OL,Draper,UT,USA,40.5246711,-111.8638226,49035,[]
5092463,Rock,Gonzalez,Utah State,250,74,97.0,3,DL,Chula Vista,CA,USA,32.6400541,-117.0841955,06073,[]
