id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4242559,Gabe,Reid,Utah,247.0,72.0,91.0,4.0,DE,American Fork,UT,USA,40.3768954,-111.7957645,49049,[32722]
4243247,Jaylen,Dixon,Utah,170.0,69.0,25.0,4.0,WR,Frisco,TX,USA,33.1506744,-96.8236116,48085,[39636]
4243265,Aliki,Vimahi,Utah,307.0,76.0,95.0,2.0,DT,Kahuku,HI,USA,21.679124,-157.94838,15003,[]
4249084,Stone,Azarcon,Utah,197.0,72.0,36.0,4.0,S,Draper,UT,USA,40.5246711,-111.8638226,49035,[]
4249090,Shintaro,Mann,Utah,278.0,71.0,60.0,2.0,OL,Provo,UT,USA,40.2338438,-111.6585337,49049,[]
4360083,Tavion,Thomas,Utah,238.0,74.0,9.0,3.0,RB,Dayton,OH,USA,39.7589478,-84.1916069,39113,[43317]
4361003,Braeden,Daniels,Utah,297.0,76.0,71.0,3.0,OL,Carrollton,TX,USA,32.9537349,-96.8902816,48113,[44352]
4361006,Solomon,Enis,Utah,206.0,75.0,21.0,4.0,WR,Phoenix,AZ,USA,33.4484367,-112.0741417,04013,[43133]
4361011,R.J.,Hubert,Utah,198.0,72.0,11.0,4.0,S,Logandale,NV,USA,36.5966367,-114.4841551,32003,[]
4361014,Brant,Kuithe,Utah,219.0,74.0,80.0,4.0,TE,Katy,TX,USA,29.7857853,-95.8243956,48157,[44120]
4361015,Paul,Maile,Utah,304.0,74.0,54.0,3.0,OL,Salt Lake City,UT,USA,40.7596198,-111.8867975,49035,[43622]
4361017,Andrew,Mata'afa,Utah,221.0,75.0,55.0,3.0,LB,San Diego,CA,USA,32.7174209,-117.1627714,06073,[43706]
4361018,Malone,Mataele,Utah,184.0,71.0,15.0,3.0,CB,Placentia,CA,USA,33.8714814,-117.8617337,06059,[43513]
