id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4240865,Silas,Dzansi,Virginia Tech,335,77,60.0,4,OL,Woodbridge,VA,USA,38.6581723,-77.2497049,51153,[37156]
4240901,Connor,Blumrick,Virginia Tech,222,77,4.0,4,TE,Pearland,TX,USA,29.5639758,-95.2864299,48039,[39577]
4241939,Johnny,Jordan,Virginia Tech,300,73,55.0,4,OL,Leesburg,VA,USA,39.1154496,-77.5645446,51107,[39487]
4248558,Jason,Brown,Virginia Tech,230,74,1.0,4,QB,Fredericksburg,VA,USA,38.3031837,-77.4605399,51630,[]
4257587,Jadan,Blue,Virginia Tech,192,72,2.0,4,WR,Randallstown,MD,USA,39.3676844,-76.7954545,24005,[40945]
4260193,Drake,De Iuliis,Virginia Tech,240,77,89.0,4,TE,Charlotte,NC,USA,35.2272,-80.843083,37119,[39064]
4260196,TyJuan,Garbutt,Virginia Tech,255,73,45.0,4,DL,Fredericksburg,VA,USA,38.3031837,-77.4605399,51630,[]
4260198,Jaylen,Griffin,Virginia Tech,256,73,41.0,4,DL,Rome,GA,USA,34.257038,-85.1646726,13115,[39648]
4260206,Jalen,Holston,Virginia Tech,210,71,,4,RB,Stockbridge,GA,USA,33.5442781,-84.2338093,13151,[39316]
4361958,Dax,Hollifield,Virginia Tech,245,73,4.0,4,LB,Shelby,NC,USA,35.2919489,-81.5402112,37045,[43058]
4361964,Chamarri,Conner,Virginia Tech,206,72,1.0,4,DB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,[43224]
4361967,Cole,Beck,Virginia Tech,195,73,14.0,4,WR,Blacksburg,VA,USA,37.2296566,-80.4136767,51121,[]
4361968,Nasir,Peoples,Virginia Tech,205,72,5.0,4,DB,Abington,PA,USA,40.1206656,-75.1179512,42091,[43907]
4361970,Alan,Tisdale,Virginia Tech,225,75,34.0,4,LB,Greensboro,NC,USA,36.0726355,-79.7919754,37081,[43272]
4361973,Kaleb,Smith,Virginia Tech,222,74,80.0,4,WR,Bumpass,VA,USA,37.963473,-77.7372132,51109,[44672]
4361974,Eli,Adams,Virginia Tech,230,71,46.0,4,DL,Rock Hill,SC,USA,34.9248667,-81.0250784,45091,[43888]
4361977,Keshon,Artis,Virginia Tech,246,72,15.0,4,LB,Chesapeake,VA,USA,36.7183708,-76.2466798,51550,[43429]
4361986,Armani,Chatman,Virginia Tech,208,71,9.0,4,DB,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,[43348]
4387384,Tink,Boyd,Virginia Tech,186,70,34.0,4,WR,Chesterfield,VA,USA,37.3770935,-77.5058196,51041,[]
4387406,Tyler,Matheny,Virginia Tech,227,73,30.0,4,LB,Fairfax,VA,USA,38.8462236,-77.3063733,51600,[]
4395521,Nigel,Simmons,Virginia Tech,250,74,94.0,3,DL,Newport News,VA,USA,36.9786449,-76.4321089,51700,[]
4398172,Dimitri,Georgiadis,Virginia Tech,295,81,69.0,4,OL,Richmond,VA,USA,37.5385087,-77.43428,51760,[]
4427175,Dean,Ferguson,Virginia Tech,225,74,47.0,3,LB,Sterling,VA,USA,39.0016194,-77.4032011,51107,[47767]
4427234,Josh,Fuga,Virginia Tech,302,74,6.0,3,DL,Woodbridge,VA,USA,38.6581723,-77.2497049,51153,[]
4427414,Ny'Quee,Hawkins,Virginia Tech,198,72,13.0,3,DB,Orange,NJ,USA,40.77117355,-74.23102475098881,34013,[]
