id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4239805,Kristopher,Moll,Washington,214,72,9.0,4,LB,Miami,FL,USA,25.7742658,-80.1936589,12086,[42599]
4240713,Cam,Bright,Washington,219,72,2.0,4,LB,Cleveland,OH,USA,41.5051613,-81.6934446,39035,[]
4243316,Henry,Bainivalu,Washington,330,79,66.0,4,OL,Sammamish,WA,USA,47.6088445,-122.0423067,53033,[38821]
4243320,Alex,Cook,Washington,194,73,5.0,4,S,Sacramento,CA,USA,38.5815719,-121.4943996,06067,[39029]
4243324,Jaxson,Kirkland,Washington,310,79,51.0,4,OL,Portland,OR,USA,45.5202471,-122.6741949,41051,[39195]
4245287,Peyton,Henry,Washington,201,71,47.0,4,PK,Danville,CA,USA,37.8215929,-121.9999606,06013,[]
4248783,Jordan,Perryman,Washington,198,72,1.0,4,CB,Hanford,CA,USA,36.3274502,-119.6456844,06031,[]
4360423,Michael,Penix Jr.,Washington,214,75,9.0,3,QB,Tampa,FL,USA,27.9477595,-82.458444,12057,"[43455, 67903]"
4361094,Dominique,Hampton,Washington,216,75,7.0,3,LB,Glendale,AZ,USA,33.5386858,-112.1859941,04013,[43762]
4361095,Richard,Newton,Washington,206,72,6.0,3,RB,Lancaster,CA,USA,34.6981064,-118.1366153,06037,[43432]
4361096,Julius,Irvin,Washington,181,73,29.0,3,S,Anaheim,CA,USA,33.8347516,-117.911732,06059,[43063]
4361097,David,Pritchard,Washington,174,73,30.0,3,WR,Renton,WA,USA,47.4799078,-122.2034496,53033,[]
4361100,Jack,Westover,Washington,246,75,37.0,3,TE,Bellevue,WA,USA,47.6144219,-122.1923372,53033,[]
4361105,Zion,Tupuola-Fetui,Washington,241,76,58.0,3,DL,Pearl City,HI,USA,21.400593999999998,-157.97040639396414,15003,[43718]
4361107,Ulumoo,Ale,Washington,344,78,68.0,3,DL,Tacoma,WA,USA,47.2495798,-122.4398746,53053,[43727]
4361109,Matteo,Mele,Washington,295,78,78.0,3,OL,Tucson,AZ,USA,32.2228765,-110.9748477,04019,[43305]
4361110,Victor,Curne,Washington,320,76,79.0,3,OL,Houston,TX,USA,29.7589382,-95.3676974,48201,[43556]
4361112,Devin,Culp,Washington,244,76,83.0,3,TE,Spokane,WA,USA,47.6579425,-117.4212265,53063,[43383]
4361113,Tuli,Letuligasenoa,Washington,313,73,91.0,3,DL,Concord,CA,USA,37.9768525,-122.0335624,06013,[43012]
4370813,Wayne,Taulapapa,Washington,206,71,21.0,4,RB,Laie,HI,USA,21.647244399999998,-157.93069756074482,15003,[36930]
4372523,Jeremiah,Martin,Washington,261,76,3.0,4,DL,San Bernardino,CA,USA,34.1083449,-117.2897652,06071,[43161]
4374280,Edefuan,Ulofoshio,Washington,230,73,48.0,3,LB,Anchorage,AK,USA,61.2163129,-149.8948523,02020,[46186]
4374282,Gage,Harty,Washington,244,76,46.0,3,DL,Spokane Valley,WA,USA,47.6571104,-117.2613936,53063,[]
4383844,Kevin,Ryan,Washington,157,72,90.0,4,P,Mesa,AZ,USA,33.4151117,-111.8314773,04013,[]
4426352,Jacob,Bandes,Washington,295,74,55.0,2,DL,Pittsburg,CA,USA,38.0181745,-121.8901232,06013,[46882]
4426380,Faatui,Tuitele,Washington,308,75,99.0,2,DL,Honolulu,HI,USA,21.304547,-157.8556764,15003,[46879]
4426821,Julius,Buelow,Washington,319,80,77.0,2,OL,Kapolei,HI,USA,21.3340079,-158.0778491,15003,[47129]
4427160,Kamren,Fabiculanan,Washington,189,73,13.0,2,LB,Camarillo,CA,USA,34.2164099,-119.0376573,06111,[47174]
4427170,Troy,Fautanu,Washington,307,76,55.0,2,OL,Henderson,NV,USA,36.0301134,-114.9826194,32003,[47170]
4427219,Drew,Fowler,Washington,218,73,54.0,2,LB,Bellevue,WA,USA,47.6144219,-122.1923372,53033,[48145]
4427435,Daniel,Heimuli,Washington,230,72,15.0,2,LB,East Palo Alto,CA,USA,37.4688273,-122.1410751,06081,[46995]
4427569,Giles,Jackson,Washington,177,69,,3,WR,Antioch,CA,USA,38.0049214,-121.805789,06013,[47099]
4427676,Nate,Kalepo,Washington,333,78,71.0,2,OL,Renton,WA,USA,47.4799078,-122.2034496,53033,[67961]
4428713,Bralen,Trice,Washington,256,76,8.0,2,DL,Phoenix,AZ,USA,33.4484367,-112.0741417,04013,[47254]
4428726,Alphonzo,Tuputala,Washington,235,74,11.0,2,LB,Federal Way,WA,USA,47.313494,-122.3393103,53033,[47870]
4428997,Sav'ell,Smalls,Washington,265,75,,2,DL,Burien,WA,USA,47.469918,-122.3485274,53033,"[61597, 74908]"
4429089,Geirean,Hatchett,Washington,299,76,56.0,1,OL,Ferndale,WA,USA,48.8466698,-122.5897235,53073,[61774]
4429186,Sam,Adams II,Washington,194,74,28.0,1,RB,Kirkland,WA,USA,47.6859573,-122.1920249,53033,[61852]
4429490,Carson,Bruener,Washington,224,74,42.0,2,LB,Woodinville,WA,USA,47.7545827,-122.1588902,53033,[62576]
4429503,Taj,Davis,Washington,188,74,3.0,2,WR,Chino,CA,USA,34.0133561,-117.690075,06071,[47319]
4429694,Makell,Esteen,Washington,180,73,24.0,1,S,Hawthorne,CA,USA,33.9188589,-118.3483256,06037,[62168]
4430565,Will,Nixon,Washington,194,71,8.0,1,RB,Waco,TX,USA,31.549333,-97.1466695,48309,[]
4430616,Asa,Turner,Washington,200,75,20.0,3,S,Carlsbad,CA,USA,33.1580933,-117.3505966,06073,[47096]
4430637,Ja'Lynn,Polk,Washington,193,74,2.0,1,WR,Lufkin,TX,USA,31.3386242,-94.7288558,48005,[62035]
4430816,Myles,Murao,Washington,320,75,50.0,1,OL,Torrance,CA,USA,33.8358492,-118.3406288,06037,[61681]
4430834,Jalen,McMillan,Washington,182,73,11.0,2,WR,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,[61635]
4430876,Roger,Rosengarten,Washington,294,78,73.0,1,OL,Highlands Ranch,CO,USA,39.5538771,-104.9694264,08035,[61738]
4431264,Gaard,Memmelaar,Washington,292,76,64.0,1,OL,Caldwell,ID,USA,43.6678736,-116.6894156,16027,[62088]
4431299,Rome,Odunze,Washington,201,75,1.0,2,WR,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,[61787]
4431423,Jay'Veon,Sunday,Washington,206,72,26.0,1,RB,Waco,TX,USA,31.549333,-97.1466695,48309,[62250]
4431511,Owen,Prentice,Washington,299,75,70.0,1,OL,Seattle,WA,USA,47.6038321,-122.3300624,53033,[71635]
4432466,Samuel,Peacock,Washington,286,78,65.0,1,OL,Gig Harbor,WA,USA,47.3259697,-122.5878659,53053,[63237]
4432776,Jabez,Tinae,Washington,185,72,15.0,1,WR,Seattle,WA,USA,47.6038321,-122.3300624,53033,[71749]
4567748,Sam,Huard,Washington,194,74,7.0,1,QB,Bellevue,WA,USA,47.6144219,-122.1923372,53033,[71469]
4569594,Cameron,Davis,Washington,193,72,22.0,2,RB,Bryant,AR,USA,34.5959265,-92.4890469,05125,"[33288, 47093]"
4569596,Nick,Juran,Washington,185,72,19.0,2,WR,Mountain View,CA,USA,37.3893889,-122.0832101,06085,[]
4569597,Corey,Luciano,Washington,291,76,74.0,4,OL,Danville,CA,USA,37.8215929,-121.9999606,06013,[40172]
4569598,Dylan,Morris,Washington,202,72,5.0,2,QB,Puyallup,WA,USA,47.1849009,-122.2921406,53053,[46967]
4569599,Zeke,Pelluer,Washington,252,77,39.0,2,TE,Kirkland,WA,USA,47.6859573,-122.1920249,53033,[]
4569600,Mishael,Powell,Washington,203,73,23.0,2,CB,Seattle,WA,USA,47.6038321,-122.3300624,53033,[49075]
4569602,Cameron,Williams,Washington,205,72,6.0,3,S,Bakersfield,CA,USA,35.3738712,-119.0194639,06029,[47200]
