id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4404565,Vince,Sanford,Air Force,225.0,73.0,26.0,4.0,LB,Hamilton,OH,USA,39.3995067,-84.5613428,39017,[]
4405877,TD,Blackmon,Air Force,230.0,73.0,27.0,4.0,LB,Maryville,TN,USA,35.7564719,-83.9704593,47009,[39851]
4428508,Everett,Smalley,Air Force,260.0,75.0,63.0,3.0,OT,Tampa,FL,USA,27.9477595,-82.458444,12057,[]
4430387,Dorian,Maynard,Air Force,205.0,74.0,4.0,3.0,CB,Houston,TX,USA,29.7589382,-95.3676974,48201,[]
4500446,Jace,Waters,Air Force,220.0,74.0,18.0,4.0,LB,Allen,TX,USA,33.1031744,-96.6705503,48085,[]
4570034,Wyatt,Wilson,Air Force,195.0,75.0,11.0,3.0,WR,New Canaan,CT,USA,41.146763,-73.4948446,09001,[]
4571640,David,Cormier,Air Force,225.0,75.0,7.0,4.0,WR,Albuquerque,NM,USA,35.0841034,-106.6509851,35001,[]
4571649,Amari,Terry,Air Force,190.0,67.0,2.0,4.0,WR,Jacksonville,FL,USA,30.3321838,-81.655651,12031,[]
4571652,Omar,Fattah,Air Force,215.0,71.0,44.0,4.0,FB,Lakewood,OH,USA,41.4819932,-81.7981908,39035,[]
4571655,Christopher,Herrera,Air Force,265.0,77.0,49.0,4.0,DE,League City,TX,USA,29.5074538,-95.0949303,48167,[]
4571666,Isaac,Cochran,Air Force,325.0,77.0,73.0,4.0,OL,Concord,NC,USA,35.4093772,-80.5797416,37025,[]
4571669,DeAndre,Hughes,Air Force,175.0,68.0,8.0,4.0,WR,Phoenix,AZ,USA,33.4484367,-112.0741417,04013,[]
4578267,Dane,Kinamon,Air Force,195.0,72.0,23.0,3.0,WR,Peachtree City,GA,USA,33.3967829,-84.5957629,13113,[]
4578890,Jayden,Goodwin,Air Force,190.0,73.0,16.0,3.0,S,Houston,TX,USA,29.7589382,-95.3676974,48201,[]
4580590,Zac,Larrier,Air Force,190.0,72.0,9.0,3.0,QB,Youngstown,OH,USA,41.1035786,-80.6520161,39099,[]
4580593,Jake,Smith,Air Force,210.0,73.0,20.0,3.0,LB,,,USA,33.532005,131.3496745,,[]
4580608,Kyle,Patterson,Air Force,250.0,78.0,88.0,4.0,TE,Gilbert,AZ,USA,33.3527632,-111.7890373,04013,[]
4591189,Alec,Mock,Air Force,240.0,75.0,40.0,3.0,LB,Weddington,NC,USA,35.020790500000004,-80.74746745704525,37179,[63696]
4693813,Ben,Brittain,Air Force,200.0,73.0,15.0,3.0,QB,Hewitt,TX,USA,31.4623902,-97.1958377,48309,[]
4693814,Haaziq,Daniels,Air Force,205.0,73.0,4.0,4.0,QB,Franklin,NJ,USA,41.1220409,-74.5804378,34037,[]
4693816,Trey,Taylor,Air Force,205.0,72.0,7.0,3.0,S,Frisco,TX,USA,33.1506744,-96.8236116,48085,[]
4693827,Kalawai'a,Pescaia,Air Force,295.0,72.0,98.0,4.0,G,Kailua,HI,USA,21.394833,-157.72989134661873,15003,[]
4696118,Michael,Mack II,Air Force,190.0,73.0,9.0,3.0,CB,Glenn Dale,MD,USA,38.9876104,-76.8205265,24033,[]
4696119,Johnathan,Youngblood,Air Force,215.0,71.0,35.0,3.0,LB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[]
4696120,Camby,Goff,Air Force,205.0,73.0,11.0,3.0,S,Reynoldsburg,OH,USA,39.9547861,-82.8121191,39049,[]
4697127,Brad,Roberts,Air Force,215.0,71.0,20.0,4.0,RB,Arvada,CO,USA,39.8211225,-105.22074299044587,08059,[]
4697146,Anthony,Rodriguez,Air Force,190.0,69.0,91.0,3.0,PK,Marietta,GA,USA,33.9528472,-84.5496148,13067,[]
4697148,TJ,Love,Air Force,280.0,76.0,90.0,4.0,DT,Centennial,CO,USA,39.5680644,-104.97783081285026,08005,[]
4697149,Kupono,Blake,Air Force,270.0,74.0,55.0,3.0,G,Kalihi,HI,USA,21.3361131,-157.8716339,15003,[]
4697150,Nasir,Rashid,Air Force,215.0,72.0,34.0,3.0,LB,Shaker Heights,OH,USA,41.4739419,-81.5370671,39035,[]
4697151,Corey,Collins,Air Force,185.0,71.0,5.0,3.0,DB,Suwanee,GA,USA,34.0514898,-84.0712997,13135,[]
4697226,Brendan,Bentley,Air Force,265.0,74.0,39.0,4.0,LS,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,[]
4697227,Patrick,Dahlen,Air Force,210.0,75.0,12.0,3.0,DB,Canton,GA,,,,,[]
4697230,Jalen,Johnson,Air Force,175.0,70.0,10.0,3.0,RB,Decatur,GA,USA,33.7737582,-84.296069,13089,[]
4697231,Matthew,Malloy,Air Force,215.0,75.0,6.0,3.0,LB,Scottsdale,AZ,USA,33.4942189,-111.9260184,04013,[]
4697232,Ayden,McCollough,Air Force,305.0,75.0,66.0,3.0,OT,Brandon,FL,USA,27.928463999999998,-82.2880507720744,12057,[]
4697433,Eian,Castonguay,Air Force,195.0,72.0,2.0,3.0,CB,Garden City,KS,USA,37.9716898,-100.8726618,20055,[]
4699777,Ben,Jefferson,Air Force,195.0,71.0,27.0,4.0,WR,Cypress,CA,USA,33.8248235,-118.0399368,06059,[]
4701027,Owen,Burk,Air Force,220.0,71.0,26.0,3.0,RB,Grand Rapids,MI,USA,42.9632405,-85.6678639,26081,[]
4705444,PJ,Ramsey,Air Force,245.0,75.0,13.0,3.0,LB,Phenix City,AL,USA,32.4709761,-85.0007653,01113,[]
4705675,Jayden,Thiergood,Air Force,250.0,75.0,48.0,3.0,DE,Chicago,IL,USA,41.8755616,-87.6244212,17031,[]
4708409,Caden,Blum,Air Force,265.0,77.0,87.0,3.0,DL,,,,,,,[]
4708478,Jensen,Jones,Air Force,210.0,74.0,5.0,3.0,QB,Naples,FL,USA,26.1421976,-81.7942944,12021,[]
4875560,Jalen,Mergerson,Air Force,195.0,71.0,10.0,3.0,LB,Aurora,CO,USA,39.729432,-104.8319196,08005,[]
4875561,Mason,Bugg,Air Force,180.0,74.0,20.0,3.0,S,Gilbert,AZ,USA,33.3527632,-111.7890373,04013,[]
4875562,John Lee,Eldridge III,Air Force,195.0,69.0,24.0,3.0,RB,Youngstown,OH,USA,41.1035786,-80.6520161,39099,[]
4875563,Emmanuel,Michel,Air Force,215.0,70.0,28.0,4.0,FB,Lawrenceville,GA,USA,33.9562149,-83.9879625,13135,[]
4875564,Bo,Richter,Air Force,240.0,74.0,8.0,3.0,LB,Naperville,IL,USA,41.7728699,-88.1479278,17043,[]
4875565,J. Frank,Melgarejo III,Air Force,225.0,72.0,41.0,3.0,LS,Plantation,FL,USA,26.1265258,-80.25786123765101,12011,[]
4875566,Nate,Polk,Air Force,210.0,74.0,3.0,3.0,LB,Scottsdale,AZ,USA,33.4942189,-111.9260184,04013,[]
4875568,Alesandro,Maxwell,Air Force,255.0,76.0,44.0,4.0,DE,Tampa,FL,USA,27.9477595,-82.458444,12057,[]
4875569,Steven,Iles,Air Force,280.0,74.0,53.0,3.0,G,Riverside,CA,USA,33.9533546,-117.3961623,06065,[]
4875570,Adam,Karas,Air Force,270.0,76.0,59.0,3.0,OT,Arvada,CO,USA,39.8211225,-105.22074299044587,08059,[]
4875571,Luke,Hallstrom,Air Force,280.0,74.0,64.0,3.0,G,Naperville,IL,USA,41.7728699,-88.1479278,17043,[]
4875573,Thor,Paglialong,Air Force,285.0,76.0,68.0,3.0,C,Woodstock,IL,USA,42.3147529,-88.4474302,17111,[]
4875574,Wesley,Ndago,Air Force,285.0,74.0,69.0,3.0,G,Waco,TX,USA,31.549333,-97.1466695,48309,[]
4875575,Ethan,Jackman,Air Force,300.0,76.0,75.0,3.0,OL,Chaska,MN,USA,44.7894072,-93.6021791,27019,[]
4875576,Kaleb,Holcomb,Air Force,265.0,76.0,51.0,3.0,OT,Dublin,OH,USA,40.0992294,-83.1140771,39049,[]
4875577,Rory,White,Air Force,205.0,75.0,83.0,3.0,WR,Gallatin,TN,USA,36.3883031,-86.4475898,47165,[]
4875578,Elijah,Brockman,Air Force,285.0,75.0,92.0,4.0,G,Aurora,CO,USA,39.729432,-104.8319196,08005,[]
4875579,James,Bryant,Air Force,215.0,76.0,81.0,3.0,TE,Roswell,GA,USA,34.02332,-84.360022,13121,[]
4875580,Andrew,BoisD'Enghien,Air Force,280.0,75.0,93.0,3.0,DE,Pleasanton,CA,USA,37.6624312,-121.8746789,06001,[]
4875581,Luke,Wieland,Air Force,195.0,72.0,96.0,3.0,P,Colorado Springs,CO,USA,38.8339578,-104.8253485,08041,[]
4887281,Matthew,Dapore,Air Force,195.0,72.0,43.0,2.0,PK,Springboro,OH,USA,39.5522815,-84.2332718,39165,[]
4895224,Jamari,Bellamy,Air Force,175.0,74.0,25.0,2.0,DB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[]
