id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4054959,Jon,Jacobs,Charlotte,310,77,55.0,4,OL,Gainesville,VA,USA,38.795479,-77.6125977,51153,[]
4239407,Davondre,Robinson,Charlotte,205,72,10.0,4,DB,Holly Hill,SC,USA,33.3226624,-80.4137038,45075,[]
4240426,Chase,Monroe,Charlotte,212,74,47.0,4,LB,Huntersville,NC,USA,35.410845,-80.8429094,37119,[39505]
4240571,Trey,Creamer,Charlotte,195,72,3.0,4,DB,Cartersville,GA,USA,34.1650972,-84.7999383,13015,"[39660, 65614]"
4240614,TJ,Moore,Charlotte,315,78,75.0,4,OL,Charlotte,NC,USA,35.2272,-80.843083,37119,[38874]
4244314,Isaac,Hampton,Charlotte,300,73,96.0,4,DL,Charlotte,NC,USA,35.2272,-80.843083,37119,[41282]
4258602,Kofi,Wardlow,Charlotte,245,75,7.0,4,DE,Washington,DC,USA,38.8949855,-77.0365708,11001,[39675]
4259268,Victor,Tucker,Charlotte,185,72,1.0,4,WR,Miami Gardens,FL,USA,25.9423108,-80.23976495072381,12086,[]
4259269,Chris,Reynolds,Charlotte,202,71,3.0,4,QB,Mocksville,NC,USA,35.8940236,-80.5617846,37059,[]
4259275,Calvin,Camp,Charlotte,183,68,2.0,4,RB,Hickory,NC,USA,35.7333312,-81.3442915,37035,[]
4259549,Trey,Blount,Charlotte,205,74,19.0,4,WR,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[38942]
4260315,Cameron,Lyons,Charlotte,225,72,45.0,4,LS,Morgantown,WV,USA,39.6296809,-79.9559437,54061,[]
4291989,Amir,Siddiq,Charlotte,245,74,1.0,4,DL,Detroit,MI,USA,42.3315509,-83.0466403,26163,[41792]
4362928,Wayne,Jones,Charlotte,211,72,5.0,3,DB,Owasso,OK,USA,36.2661536,-95.8549456,40143,[43892]
4369967,Jordan,Anderson,Charlotte,185,70,16.0,3,DB,Temple,GA,USA,33.733194499999996,-85.03112422515679,13045,[]
4372469,Matt,Rosso,Charlotte,290,77,70.0,3,OL,Fairless Hills,PA,USA,40.1795537,-74.8551644,42017,[44566]
4372517,James,Foster,Charlotte,220,74,7.0,3,QB,Montgomery,AL,USA,32.3669656,-86.3006485,01101,[43178]
4373692,Dylan,Ratliff,Charlotte,175,71,10.0,3,QB,Harrisburg,NC,USA,35.3262523,-80.6446563,37025,[]
4373697,Lance,McMillan,Charlotte,165,70,18.0,4,DB,Greensboro,NC,USA,36.0726355,-79.7919754,37081,[]
4373706,Markees,Watts,Charlotte,240,73,,4,DE,Gaston,SC,USA,39.3940657,-120.7416059,06057,[45380]
4373709,B.J.,Turner,Charlotte,225,72,44.0,4,LB,Greensboro,NC,USA,36.0726355,-79.7919754,37081,[]
4373710,Bryan,Wallace,Charlotte,275,77,60.0,3,DL,Berryville,VA,USA,39.1517713,-77.9822193,51043,[45729]
4383603,Antonio,Zita,Charlotte,175,69,28.0,4,PK,Fayetteville,TN,USA,35.1520267,-86.5705509,47103,[]
4426682,Prince,Bemah,Charlotte,225,74,25.0,3,LB,Gastonia,NC,USA,35.2622158,-81.1838794,37071,[68022]
4426733,Trey,Bly,Charlotte,165,68,31.0,3,DB,Charlotte,NC,USA,35.2272,-80.843083,37119,[48461]
4426840,Shadrick,Byrd,Charlotte,210,70,13.0,2,RB,Alabaster,AL,USA,33.2442813,-86.8163773,01117,[48218]
4427537,Jaxon,Hughes,Charlotte,295,78,77.0,3,OL,Greensboro,NC,USA,36.0726355,-79.7919754,37081,[48488]
4427688,Valerian,Agbaw,Charlotte,172,70,9.0,2,DB,Powder Springs,GA,USA,33.8595492,-84.683824,13067,[48399]
4427734,Ricky,Kofoed,Charlotte,200,75,29.0,3,LS,Charlotte,NC,USA,35.2272,-80.843083,37119,[48924]
4428197,Quinton,Patten,Charlotte,205,71,89.0,3,WR,Blythewood,SC,USA,34.2187005,-80.98456918011235,45079,[50270]
4428376,Solomon,Rogers,Charlotte,197,70,6.0,4,DB,Wake Forest,NC,USA,35.9803138,-78.5103731,37183,[50413]
4428831,Bryson,Whitehead,Charlotte,190,71,27.0,3,DB,Cornelius,NC,USA,35.4817982,-80.8589501,37119,[49990]
4429169,Derek,Boykins,Charlotte,230,74,2.0,3,LB,Concord,NC,USA,35.4093772,-80.5797416,37025,[]
4429841,Jalar,Holley,Charlotte,282,74,97.0,2,DL,Auburn,GA,USA,34.0136622,-83.8273503,13013,[47573]
4430942,Briston,Bennett,Charlotte,190,72,13.0,2,DB,Nashville,TN,USA,36.1622296,-86.7743531,47037,[63568]
