id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4259553,Stetson,Bennett,Georgia,190,71,13.0,4,QB,Blackshear,GA,USA,31.3060513,-82.2420661,13229,[]
4259557,William,Poole,Georgia,190,72,31.0,4,DB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[38814]
4259558,Robert,Beal Jr.,Georgia,250,76,33.0,4,LB,Norcross,GA,USA,33.9412127,-84.2135309,13135,[38730]
4361778,Kearis,Jackson,Georgia,200,72,10.0,4,WR,Fort Valley,GA,USA,32.5537585,-83.8874084,13225,[43037]
4361786,Warren,Ericson,Georgia,305,76,50.0,4,OL,Suwanee,GA,USA,34.0514898,-84.0712997,13135,[43170]
4379410,Jack,Podlesny,Georgia,180,73,96.0,4,PK,Saint Simons Island,GA,USA,31.1505097,-81.3695404,13127,[]
4379413,Christopher,Smith,Georgia,195,71,29.0,4,DB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[48283]
4379415,Payne,Walker,Georgia,249,74,47.0,4,LS,Suwanee,GA,USA,34.0514898,-84.0712997,13135,[]
4382371,Joseph,Daniels,Georgia,188,70,48.0,4,DB,Johns Creek,GA,USA,34.0181557,-84.190196,13121,"[45599, 67944]"
4426331,Nolan,Smith,Georgia,235,75,4.0,4,LB,Savannah,GA,USA,32.0809263,-81.0911768,13051,[46797]
4426341,Dominick,Blaylock,Georgia,205,73,8.0,3,WR,Marietta,GA,USA,33.9528472,-84.5496148,13067,[46832]
4426387,Rian,Davis,Georgia,230,74,,3,LB,Apopka,FL,USA,28.6779683,-81.5115214,12095,[46885]
4426401,Bill,Norton,Georgia,300,78,45.0,3,DL,Memphis,TN,USA,35.1490215,-90.0516285,47157,[46957]
4426421,Ryland,Goede,Georgia,240,78,88.0,3,TE,Kennesaw,GA,USA,34.0234337,-84.6154897,13067,[47032]
4426512,Warren,McClendon,Georgia,300,76,70.0,3,OL,Brunswick,GA,USA,31.1499528,-81.4914894,13127,[47023]
4426677,Trezmen,Marshall,Georgia,230,73,15.0,3,LB,Homerville,GA,USA,31.0365983,-82.7470849,13065,[46918]
