id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4031036,Monte',McGary,Kansas,190,72,24.0,1,CB,Omaha,NE,USA,41.2587459,-95.9383758,31055,[]
4241214,Caleb,Sampson,Kansas,305,75,98.0,4,DL,Covington,LA,USA,30.4754702,-90.1009108,21117,[40585]
4241315,Sam,Burt,Kansas,295,76,93.0,4,DL,Abilene,KS,USA,38.917252,-97.21377,20041,[41917]
4241317,Earl,Bostick Jr.,Kansas,310,78,68.0,4,OL,Barnwell,SC,USA,33.2448733,-81.3587178,45011,[]
4241323,Jelani,Arnold,Kansas,275,74,91.0,4,DL,Irving,TX,USA,32.8295183,-96.9442177,48113,[]
4260195,Zion,DeBose,Kansas,250,74,35.0,4,DE,Salisbury,NC,USA,35.6709727,-80.4742261,37159,[]
4360345,Mac,Copeland,Kansas,260,76,86.0,4,TE,Wichita,KS,USA,37.6922361,-97.3375448,20173,[44768]
4360348,Spencer,Roe,Kansas,260,75,33.0,4,FB,Lawrence,KS,USA,38.9719384,-95.2359496,20045,[]
4360848,Kalon,Gervin,Kansas,195,71,18.0,3,CB,Detroit,MI,USA,42.3315509,-83.0466403,26163,[43095]
4360900,Jason,Bean,Kansas,200,75,17.0,4,QB,Mansfield,TX,USA,32.5631924,-97.1416768,48439,[45038]
4362166,Kevin,Terry,Kansas,195,73,84.0,3,WR,Little Elm,TX,USA,33.1626194,-96.9375051,48121,[]
4362398,Eriq,Gilyard,Kansas,230,71,13.0,4,LB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,[43406]
4362465,Mike,Novitsky,Kansas,300,77,50.0,4,OL,Victor,NY,USA,42.9825634,-77.4088794,36069,[45967]
4362471,Eddie,Wilson,Kansas,315,76,11.0,4,DL,Jersey City,NJ,USA,40.7281575,-74.0776417,34017,[45016]
4363095,Lorenzo,McCaskill,Kansas,220,72,7.0,4,LB,Detroit,MI,USA,42.3315509,-83.0466403,26163,"[39991, 56322]"
4372464,Jarrett,Paul,Kansas,195,73,9.0,4,S,Brooklyn,NY,USA,40.6501038,-73.9495823,36047,[44321]
4427096,Dylan,Downing,Kansas,235,73,32.0,3,LB,Kansas City,KS,USA,39.1134562,-94.626497,20209,[]
4427164,Mason,Fairchild,Kansas,261,77,89.0,4,TE,Andale,KS,USA,37.790567,-97.629492,20173,[49071]
4427316,Marvin,Grant,Kansas,205,74,4.0,3,S,Detroit,MI,USA,42.3315509,-83.0466403,26163,[47072]
4427821,Torry,Locklin,Kansas,210,74,12.0,3,RB,Rockdale,TX,USA,30.6549433,-97.0058245,48331,[44473]
4427822,Kenny,Logan Jr.,Kansas,210,72,1.0,4,S,Saint Augustine,FL,USA,29.8946952,-81.3145395,12109,[47518]
4428262,Gavin,Potter,Kansas,225,74,19.0,4,LB,Broken Arrow,OK,USA,36.0525993,-95.7908195,40143,[48155]
4428962,Craig,Young,Kansas,225,75,15.0,3,LB,Fort Wayne,IN,USA,41.0799898,-85.1386015,18003,[47405]
4429098,Jacob,Borcila,Kansas,210,74,83.0,3,PK,Westerville,OH,USA,40.126139,-82.9295287,39049,[50771]
4429276,Taiwan,Berryhill,Kansas,225,74,6.0,3,LB,New Orleans,LA,USA,29.9499323,-90.0701156,22071,[62514]
4429324,Jacobee,Bryant,Kansas,170,72,2.0,2,CB,Evergreen,AL,USA,31.4334994,-86.9569176,01035,[]
4429769,Michael,Ford Jr.,Kansas,300,75,54.0,2,OL,Homewood,IL,USA,41.5573283,-87.6654739,17031,[64373]
4430314,Lonnie,Phelps,Kansas,245,75,47.0,3,DE,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,[]
4430914,Lawrence,Arnold,Kansas,200,75,2.0,2,WR,Desoto,TX,USA,32.6061241,-96.865612653687,48113,[62262]
4430983,Krishawn,Brown,Kansas,226,73,26.0,2,LB,Tulsa,OK,USA,36.1556805,-95.9929113,40143,[62349]
4430999,Kenean,Caldwell,Kansas,315,75,97.0,3,DL,Oak Grove,LA,USA,32.8609625,-91.3884483,17161,[62552]
4431356,Ra'Mello,Dotson,Kansas,186,73,3.0,2,CB,Daytona Beach,FL,USA,29.2108147,-81.0228331,12127,[63295]
4431445,Ky,Thomas,Kansas,200,71,8.0,2,RB,Topeka,KS,USA,39.049011,-95.677556,20177,[61976]
4431478,Cornell,Wheeler,Kansas,220,72,44.0,2,LB,West Bloomfield,MI,USA,42.5679,-83.3733,36069,[62030]
4431735,Douglas,Emilien,Kansas,190,73,5.0,2,WR,Plantation,FL,USA,26.1265258,-80.25786123765101,12011,[62277]
4432326,Trevor,Kardell,Kansas,252,77,45.0,2,TE,Lee's Summit,MO,USA,38.9107156,-94.3821295,29095,[62759]
4433830,Luke,Grimm,Kansas,190,72,11.0,3,WR,Raymore,MO,USA,38.810131,-94.4676501,29037,[63538]
4565763,Deondre,Doiron,Kansas,295,76,73.0,2,OL,London,ON,CAN,,,,[64136]
4568694,Daniel,Hishaw Jr.,Kansas,215,70,20.0,2,RB,Moore,OK,USA,35.3395135,-97.4867045,40027,[63380]
4570250,Trevor,Wilson,Kansas,195,71,7.0,3,WR,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,[]
4570257,Ronald,McGee,Kansas,290,75,95.0,4,DL,Sumter,SC,USA,33.9204354,-80.3414693,45085,[]
4572049,Andrew,Russell,Kansas,205,74,43.0,4,S,Victor,NY,USA,42.9825634,-77.4088794,36069,[]
