id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4240027,Cyrus,Fagan,NC State,197,73,4.0,4,S,Daytona Beach,FL,USA,29.2108147,-81.0228331,12127,[38721]
4240042,Cory,Durden,NC State,305,76,48.0,4,DT,Newberry,FL,USA,29.6463535,-82.6065023,12001,[38982]
4240105,Isaiah,Moore,NC State,232,74,1.0,4,LB,Chester,VA,USA,37.3569086,-77.4421818,51041,[39423]
4240114,Bryson,Speas,NC State,315,75,56.0,4,G,Greensboro,NC,USA,36.0726355,-79.7919754,37081,[40279]
4240117,Grant,Gibson,NC State,310,73,50.0,4,C,Charlotte,NC,USA,35.2272,-80.843083,37119,[39079]
4240121,Thayer,Thomas,NC State,195,72,5.0,4,WR,Wake Forest,NC,USA,35.9803138,-78.5103731,37183,[]
4241884,Derrek,Pitts Jr.,NC State,193,73,24.0,4,CB,Dunbar,WV,USA,38.3606509,-81.7373485,54039,[39080]
4246097,Jack,Chambers,NC State,180,70,14.0,4,QB,Lilburn,GA,USA,33.8901036,-84.1429719,13135,[]
4261937,Shane,McDonough,NC State,200,74,97.0,4,P,Clearwater,FL,USA,27.9658533,-82.8001026,12103,[]
4361651,Tanner,Ingle,NC State,186,70,10.0,4,S,Orlando,FL,USA,28.5421109,-81.3790304,12095,[43811]
4361652,Payton,Wilson,NC State,230,76,11.0,3,LB,Hillsborough,NC,USA,36.0752297,-79.0992279,37135,[42986]
4361653,Devin,Leary,NC State,215,73,13.0,3,QB,Sicklerville,NJ,USA,39.7173375,-74.9693329,34007,[43279]
4361656,Teshaun,Smith,NC State,190,75,22.0,3,CB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,[43997]
4361660,Trent,Pennix,NC State,230,75,6.0,3,TE,Raleigh,NC,USA,35.7803977,-78.6390989,37183,[43902]
4361664,Tyler,Baker-Williams,NC State,205,72,13.0,4,DB,Raleigh,NC,USA,35.7803977,-78.6390989,37183,[44231]
4361665,Christopher,Dunn,NC State,179,68,32.0,4,PK,Lexington,NC,USA,35.8240265,-80.2533838,37057,[]
4361678,Jasiah,Provillon,NC State,205,74,84.0,3,WR,Irvington,NJ,USA,40.7323235,-74.2348684,34013,[43479]
4361679,Devin,Carter,NC State,215,75,88.0,3,WR,Clayton,NC,USA,35.650711,-78.4563914,37101,[43646]
4361681,Derrick,Eason,NC State,315,76,53.0,3,OL,Norfolk,VA,USA,36.8462923,-76.2929252,51710,[44093]
4371418,Michael,Fox,NC State,170,72,20.0,3,WR,Orlando,FL,USA,28.5421109,-81.3790304,12095,[]
4372045,Darryl,Jones,NC State,195,75,11.0,4,WR,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,[43240]
4426351,Savion,Jackson,NC State,290,74,9.0,3,DE,Clayton,NC,USA,35.650711,-78.4563914,37101,[46964]
4427393,Jakeen,Harris,NC State,190,70,6.0,3,S,Savannah,GA,USA,32.0809263,-81.0911768,13051,[48233]
4427472,C.J.,Clark,NC State,300,75,5.0,2,DT,New London,NC,USA,35.4431965,-80.2192225,37167,[46987]
4427789,Keyon,Lesane,NC State,190,71,15.0,3,WR,Lumberton,NC,USA,34.6183433,-79.0083993,37155,[47992]
4428018,Delbert,Mimms III,NC State,215,71,34.0,2,RB,Indianapolis,IN,USA,39.7683331,-86.1583502,18097,[48494]
4428267,Cecil,Powell,NC State,190,72,4.0,2,CB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,[47898]
4428448,Shyheim,Battle,NC State,195,74,25.0,2,CB,Rocky Mount,NC,USA,35.9423833,-77.7956949,37127,[47210]
4428659,Drake,Thomas,NC State,230,72,32.0,3,LB,Wake Forest,NC,USA,35.9803138,-78.5103731,37183,[47377]
4429461,Josh,Crabtree,NC State,200,75,83.0,1,WR,Wake Forest,NC,USA,35.9803138,-78.5103731,37183,[]
4430155,Dylan,McMahon,NC State,305,76,54.0,2,OL,Savannah,GA,USA,32.0809263,-81.0911768,13051,[47583]
4430475,Joe,Shimko,NC State,220,72,91.0,3,LS,Belmar,NJ,USA,40.1784471,-74.0218037,34025,[50183]
4430598,Christopher,Toudle,NC State,240,76,29.0,2,WR,Wilmington,NC,USA,34.2257282,-77.9447107,37129,[]
4430846,Porter,Rooks,NC State,195,73,4.0,2,WR,Charlotte,NC,USA,35.2272,-80.843083,37119,[61778]
4430933,Ezemdi,Udoh,NC State,247,77,43.0,1,TE,Fayetteville,NC,USA,35.0525759,-78.878292,37051,[63445]
4430945,Devon,Betty,NC State,225,73,26.0,2,LB,West Park,FL,USA,25.979051,-80.18285910604826,12011,[62359]
4430961,Devan,Boykin,NC State,187,70,12.0,2,DB,Greensboro,NC,USA,36.0726355,-79.7919754,37081,[62400]
4431013,Anthony,Carter Jr.,NC State,300,75,75.0,1,OL,Charlotte,NC,USA,35.2272,-80.843083,37119,[62378]
4431030,Jalen,Coit,NC State,171,71,21.0,1,WR,Cheraw,SC,USA,34.6976564,-79.8833971,45025,[62812]
4431091,Ben,Finley,NC State,205,75,10.0,1,QB,Phoenix,AZ,USA,33.4484367,-112.0741417,04013,[62304]
