id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4241476,Tyrell,Shavers,San Diego State,210,78,14,4,WR,Lewisville,TX,USA,33.046233,-96.994174,48121,[38713]
4242490,Braxton,Burmeister,San Diego State,205,73,5,4,QB,La Jolla,CA,USA,32.83259,-117.2716839,06073,[38922]
4244614,Deven,Lamp,San Diego State,255,77,52,4,DL,Cedar Hill,TX,USA,32.5888072,-96.9553675,48113,[40519]
4261605,Chance,Bell,San Diego State,200,70,21,4,RB,Burbank,CA,USA,34.1816482,-118.3258554,06037,[40178]
4261613,Seyddrick,Lakalaka,San Diego State,235,73,43,4,LB,Kalihi,HI,USA,21.3361131,-157.8716339,15003,[41513]
4261617,Caden,McDonald,San Diego State,235,75,54,4,LB,Haslet,TX,USA,32.96116000000001,-97.34228157049023,48439,[40241]
4361498,Cedarious,Barfield,San Diego State,195,71,3,4,S,El Paso,TX,USA,31.7754152,-106.4646348,48141,[44446]
4361508,Keshawn,Banks,San Diego State,255,76,2,4,DL,Rio Rancho,NM,USA,35.269381,-106.632819,35043,[45083]
4361509,Daniel,Okpoko,San Diego State,255,77,90,4,DL,Saskatoon,SK,Canada,,,,[45747]
4361511,Alama,Uluave,San Diego State,305,74,72,4,OL,Laie,HI,USA,21.647244399999998,-157.93069756074482,15003,[44343]
4361514,TJ,Sullivan,San Diego State,205,72,80,4,WR,San Diego,CA,USA,32.7174209,-117.1627714,06073,[40854]
4362894,Jalen,Mayden,San Diego State,220,75,18,3,S,Sachse,TX,USA,32.9762327,-96.5952703,48113,[43268]
4373947,Justus,Tavai,San Diego State,290,75,91,4,DL,Inglewood,CA,USA,33.9562003,-118.353132,06037,[56217]
4374141,Jordan,Byrd,San Diego State,170,69,15,4,RB,Albuquerque,NM,USA,35.0841034,-106.6509851,35001,[44744]
4379569,Jesse,Matthews,San Diego State,190,72,45,4,WR,San Diego,CA,USA,32.7174209,-117.1627714,06073,[]
4385415,Adonis,Brown,San Diego State,185,72,48,4,CB,Sherman Oaks,CA,USA,34.1508718,-118.4489865,06037,[]
4426910,Kenan,Christon,San Diego State,185,70,23,3,RB,San Diego,CA,USA,32.7174209,-117.1627714,06073,[47201]
4426987,Brandon,Crenshaw-Dickson,San Diego State,310,78,61,3,OL,Inglewood,CA,USA,33.9562003,-118.353132,06037,[48721]
4427098,Wyatt,Draeger,San Diego State,265,76,45,3,DL,Reno,NV,USA,39.5261206,-119.8126581,32031,[68009]
4427220,Garret,Fountain,San Diego State,250,76,39,3,DL,Turlock,CA,USA,37.4946568,-120.8465941,06099,[49964]
4428219,Brionne,Penny,San Diego State,205,75,11,3,WR,Norwalk,CA,USA,33.9092802,-118.0849169,06037,[48124]
4428704,Kyle,Trombley,San Diego State,290,77,67,3,OL,Yorba Linda,CA,USA,33.8901096,-117.8249705,06059,[49220]
4428836,Kyron,White,San Diego State,210,71,19,3,S,Fort Worth,TX,USA,32.753177,-97.3327459,48439,[48668]
4429227,Jaylon,Armstead,San Diego State,220,71,38,2,RB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,[63110]
4429799,Ronald,Gilliam,San Diego State,200,74,86,2,WR,Compton,CA,USA,33.894927,-118.226624,06037,[]
4430158,Patrick,McMorris,San Diego State,210,72,33,4,S,Santa Ana,CA,USA,33.7494951,-117.8732213,06059,[49996]
4430467,Michael,Shawcroft,San Diego State,220,74,46,4,LB,San Diego,CA,USA,32.7174209,-117.1627714,06073,[48410]
4430492,Nassir,Sims,San Diego State,280,74,95,3,DL,Goodyear,AZ,USA,33.4353672,-112.3576005,04013,[48416]
4430614,Noah,Tumblin,San Diego State,185,74,10,3,CB,San Diego,CA,USA,32.7174209,-117.1627714,06073,[49060]
4431187,Vai,Kaho,San Diego State,230,73,44,3,LB,Reno,NV,USA,39.5261206,-119.8126581,32031,"[63024, 75030]"
4431346,Mark,Redman,San Diego State,250,78,81,3,TE,Newport Beach,CA,USA,33.6170092,-117.9294401,06059,[61882]
4431648,Ross,Ulugalu-Maseuli,San Diego State,320,76,63,1,OL,San Diego,CA,USA,32.7174209,-117.1627714,06073,[]
4432659,Noah,Avinger,San Diego State,190,73,17,2,CB,Cerritos,CA,USA,33.8644291,-118.0539323,06037,[72057]
4433858,Isaiah,McElvane,San Diego State,195,72,23,3,S,San Jose,CA,USA,37.3361905,-121.8905833,06085,[63846]
4433936,Joey,Wright,San Diego State,305,77,79,2,OL,Reno,NV,USA,39.5261206,-119.8126581,32031,"[62270, 74962]"
4434002,Cassius,Savage,San Diego State,175,73,16,2,WR,Buena Park,CA,USA,33.870413,-117.9962165,06059,[63575]
4566912,Jay,Rudolph,San Diego State,245,76,82,3,TE,Scottsdale,AZ,USA,33.4942189,-111.9260184,04013,[63579]
4567826,Cooper,McDonald,San Diego State,240,75,55,3,LB,Haslet,TX,USA,32.96116000000001,-97.34228157049023,48439,[62692]
4569659,Josh,Simmons,San Diego State,305,78,77,1,OL,San Diego,CA,USA,32.7174209,-117.1627714,06073,[71761]
4572391,Davaughn,Celestine,San Diego State,190,72,31,3,S,Placentia,CA,USA,33.8714814,-117.8617337,06059,[]
4572397,Jonah,Tavai,San Diego State,290,72,66,4,DL,Manhattan Beach,CA,USA,33.8915985,-118.3951241,06037,[46715]
4572399,Dylan,Taylor,San Diego State,245,74,93,3,DL,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,[]
4600405,CJ,Baskerville,San Diego State,210,74,6,2,S,North Richland Hills,TX,USA,32.8342952,-97.2289029,48439,[72254]
4613109,Aaron,Greene,San Diego State,255,76,94,2,TE,Prescott,AZ,USA,34.5399962,-112.4687616,04025,[64857]
4682487,Cam,Davis,San Diego State,175,68,29,1,RB,Dallas,TX,USA,32.7762719,-96.7968559,48113,[72977]
4683386,William,Haskell,San Diego State,200,76,3,1,QB,Glendale,AZ,USA,33.5386858,-112.1859941,04013,[72682]
4683584,J.P.,Murphy,San Diego State,245,76,47,1,TE,Danville,CA,USA,37.8215929,-121.9999606,06013,[]
4683588,Darrion,Dalton,San Diego State,265,75,97,1,DL,Apple Valley,MN,USA,44.7319094,-93.21772,27037,[73554]
4683724,Zyrus,Fiaseu,San Diego State,230,72,51,1,LB,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,[72679]
4683915,Jatavious,Magee,San Diego State,205,73,20,1,S,Federal Way,WA,USA,47.313494,-122.3393103,53033,[73181]
4684068,Cameron,Harpole,San Diego State,235,76,49,1,TE,Plano,TX,USA,33.0136764,-96.6925096,48085,[73411]
4685116,DJ,Herman,San Diego State,225,74,56,1,LB,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,[72884]
4685235,Phillippe,Wesley,San Diego State,190,72,41,1,WR,Grandview,MO,USA,38.8898478,-94.5313816,29095,[72767]
4685389,Josh,Hunter,San Diego State,175,69,24,1,S,Temecula,CA,USA,33.4946353,-117.1473661,06065,[91139]
4685450,Hassan,Mahasin,San Diego State,175,70,13,1,WR,Daly City,CA,USA,37.6904826,-122.4726708,06081,[90861]
4686368,Christian,Jones,San Diego State,350,81,70,1,OL,San Luis Obispo,CA,USA,35.2827525,-120.6596156,06079,[73404]
4686465,David,Delgado,San Diego State,165,70,41,3,PK,San Diego,CA,USA,32.7174209,-117.1627714,06073,[]
4687586,New Zealand,Williams,San Diego State,205,74,36,1,S,Carson,CA,USA,33.8322043,-118.2517547,06037,[72819]
4687675,Brady,Anderson,San Diego State,230,74,42,2,LB,Bakersfield,CA,USA,35.3738712,-119.0194639,06029,[73528]
4687708,Dominic,Oliver,San Diego State,230,75,30,1,LB,San Jose,CA,USA,37.3361905,-121.8905833,06085,[72959]
4692559,Cade,Bennett,San Diego State,315,75,60,2,OL,Scottsdale,AZ,USA,33.4942189,-111.9260184,04013,[62390]
4699780,Dallas,Branch,San Diego State,180,71,12,4,CB,Redondo Beach,CA,USA,33.8455911,-118.3886766,06037,[65818]
4699781,Marshall,Eucker,San Diego State,225,77,17,2,QB,Encinitas,CA,USA,33.0369867,-117.2919818,06073,[]
4699782,Mekhi,Shaw,San Diego State,175,70,83,2,WR,San Diego,CA,USA,32.7174209,-117.1627714,06073,[]
4699783,Lucky,Avinger,San Diego State,210,73,30,4,RB,Cerritos,CA,USA,33.8644291,-118.0539323,06037,[]
4699784,Dezjhon,Malone,San Diego State,200,74,32,2,CB,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,[63523]
4699786,Jelani,Whitmore,San Diego State,175,74,35,2,CB,Rialto,CA,USA,34.1064001,-117.3703235,06071,[64502]
4699788,Darius,De Los Reyes,San Diego State,175,69,84,2,WR,San Diego,CA,USA,32.7174209,-117.1627714,06073,[]
4699791,Darrell,Masaniai,San Diego State,220,74,57,2,LB,Honolulu,HI,USA,21.304547,-157.8556764,15003,[63094]
