id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4240418,Christian,Beal-Smith,South Carolina,205,69,8.0,4,RB,Winston-salem,NC,USA,36.0998131,-80.2440518,37067,[]
4241236,M.J.,Webb,South Carolina,313,75,94.0,4,DL,Rutledge,GA,USA,33.6259545,-83.6123935,13211,[]
4244769,Devonni,Reed,South Carolina,200,71,3.0,4,DB,Detroit,MI,USA,42.3315509,-83.0466403,26163,[40295]
4258326,Jordan,Strachan,South Carolina,245,77,7.0,5,LB,Kingsland,GA,USA,30.7999563,-81.6898261,13039,[41534]
4259485,Eric,Douglas,South Carolina,297,76,71.0,6,OL,Charlotte,NC,USA,35.2272,-80.843083,37119,[39127]
4259487,Sherrod,Greene,South Carolina,233,73,44.0,6,LB,Rocky Mount,NC,USA,35.9423833,-77.7956949,37127,[39141]
4259490,Brad,Johnson,South Carolina,238,74,19.0,6,LB,Pendleton,SC,USA,43.086997,-78.727859,36063,[38931]
4259503,Chad,Terrell,South Carolina,227,75,86.0,6,TE,Bogue Chitto,MS,USA,31.4387844,-90.4523187,28085,[39012]
4362838,Wyatt,Campbell,South Carolina,310,78,68.0,4,OL,Elgin,SC,USA,42.03726,-88.2810994,17089,[43835]
4362845,Jovaughn,Gwyn,South Carolina,300,75,54.0,4,OL,Charlotte,NC,USA,35.2272,-80.843083,37119,[43254]
4362850,Tyreek,Johnson,South Carolina,265,75,10.0,3,LB,Sumter,SC,USA,33.9204354,-80.3414693,45085,[39525]
4362852,Dakereon,Joyner,South Carolina,215,73,5.0,4,WR,North Charleston,SC,USA,32.9131295,-80.0629981965219,45019,[43113]
4362854,Hank,Manos,South Carolina,303,76,70.0,4,OL,Chapin,SC,USA,34.1659795,-81.3498212,45063,[43409]
4362857,R.J.,Roderick,South Carolina,207,72,1.0,5,DB,Summerville,SC,USA,33.0206179,-80.1747537,45035,[67921]
4362858,Darius,Rush,South Carolina,200,74,28.0,4,DB,Kingstree,SC,USA,33.6676643,-79.8306265,45089,[43958]
4362862,Josh,Vann,South Carolina,192,71,6.0,5,WR,Tucker,GA,USA,33.8532701,-84.2200729,13089,[43053]
4362863,Dylan,Wonnum,South Carolina,305,77,79.0,5,OL,Tucker,GA,USA,33.8532701,-84.2200729,13089,[43055]
4367510,Dante,Miller,South Carolina,200,69,25.0,4,RB,Rockingham,NC,USA,34.9393201,-79.7739457,37153,[]
4373483,Tyrese,Ross,South Carolina,200,72,20.0,4,DB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,[44094]
4383437,D.J.,Twitty,South Carolina,225,72,27.0,4,RB,Inman,SC,USA,35.0470617,-82.0901088,45083,[]
4383440,Nate,Adkins,South Carolina,252,75,44.0,4,TE,Knoxville,TN,USA,35.9603948,-83.9210261,47093,[]
4426332,Zacch,Pickens,South Carolina,305,76,6.0,4,DL,Anderson,SC,USA,34.5068601,-82.6506264,45007,[46804]
4426339,Spencer,Rattler,South Carolina,215,73,7.0,3,QB,Phoenix,AZ,USA,33.4484367,-112.0741417,04013,[46807]
4426367,Austin,Stogner,South Carolina,250,77,18.0,4,TE,Plano,TX,USA,33.0136764,-96.6925096,48085,[46917]
4426800,Ahmarean,Brown,South Carolina,167,69,10.0,4,WR,Tampa,FL,USA,27.9477595,-82.458444,12057,[47457]
4427049,Terrell,Dawkins,South Carolina,250,76,4.0,3,LB,Concord,NC,USA,35.4093772,-80.5797416,37025,[47421]
4427268,B.J.,Gibson,South Carolina,215,76,36.0,3,DB,Marietta,GA,USA,33.9528472,-84.5496148,13067,[]
4427459,Alex,Herrera,South Carolina,195,72,40.0,3,PK,Columbia,SC,USA,34.0007493,-81.0343313,45079,[49896]
4428046,Jakai,Moore,South Carolina,305,78,55.0,3,OL,Nokesville,VA,USA,38.6984987,-77.5800445,51153,[47300]
4428120,Jaylen,Nichols,South Carolina,322,77,52.0,4,OL,Charlotte,NC,USA,35.2272,-80.843083,37119,[47800]
4428996,Jordan,Burch,South Carolina,275,78,5.0,3,LB,Columbia,SC,USA,34.0007493,-81.0343313,45079,[61576]
4429023,MarShawn,Lloyd,South Carolina,212,69,1.0,2,RB,Wilmington,DE,USA,39.7459468,-75.546589,10003,[61610]
4429079,Luke,Doty,South Carolina,210,73,9.0,3,QB,Myrtle Beach,SC,USA,33.6956461,-78.8900409,45051,[61653]
