id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4241452,Joseph,Bulovas,Vanderbilt,215,72,36.0,4,PK,Mandeville,LA,USA,30.3582305,-90.0657477,22103,[39971]
4242660,Michael,Owusu,Vanderbilt,232,77,88.0,4,DE,Oxnard,CA,USA,34.1976308,-119.1803818,06111,[39764]
4243851,Jacob,Brammer,Vanderbilt,301,76,66.0,4,OL,Richmond,TX,USA,29.5821811,-95.7607832,48157,[41369]
4247169,Myles,Cecil,Vanderbilt,290,75,58.0,4,DL,Panorama City,CA,USA,34.2242902,-118.4453745,06037,[]
4360240,Malik,Langham,Vanderbilt,308,77,35.0,4,DL,Huntsville,AL,USA,34.729847,-86.5859011,01089,[43222]
4361943,Cooper,Lutz,Vanderbilt,200,71,39.0,4,RB,Reading,PA,USA,40.335345,-75.9279495,42011,[44845]
4362142,Jeremy,Lucien,Vanderbilt,200,74,25.0,4,CB,Moore Township,PA,USA,40.7864653,-75.42903954917378,42095,[45319]
4362226,Junior,Uzebu,Vanderbilt,310,78,77.0,4,OL,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[]
4362786,BJ,Anderson,Vanderbilt,195,73,26.0,4,CB,Andalusia,AL,USA,31.3085039,-86.4832033,01039,[44581]
4362788,Ben,Bresnahan,Vanderbilt,243,76,86.0,4,TE,Cumming,GA,USA,34.2073196,-84.1401926,13117,[43662]
4362798,Elijah,McAllister,Vanderbilt,265,78,1.0,4,DL,Rumson,NJ,USA,40.372054,-73.9990269,34025,[43642]
4362802,Gavin,Schoenwald,Vanderbilt,246,76,10.0,4,TE,Brentwood,TN,USA,36.0325687,-86.7825235,47187,[43509]
4362808,Maxwell,Worship,Vanderbilt,210,73,21.0,4,S,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,[]
4367143,Charlie,Dallape,Vanderbilt,204,75,37.0,4,DB,San Francisco,CA,USA,37.7790262,-122.4199061,06075,[]
4367496,Jared,Elstein,Vanderbilt,202,74,58.0,4,PK,Miami,FL,USA,25.7742658,-80.1936589,12086,[]
4372550,Alex,Brown,Vanderbilt,247,74,17.0,4,DE,San Antonio,TX,USA,29.4246002,-98.4951405,48029,[]
4427469,Kane,Patterson,Vanderbilt,234,73,19.0,4,LB,Brentwood,TN,USA,36.0325687,-86.7825235,47187,[47126]
4429232,Bradley,Ashmore,Vanderbilt,310,78,50.0,3,OL,Neptune Beach,FL,USA,30.311908,-81.3964734,12031,[62718]
4429501,Re'Mahn,Davis,Vanderbilt,205,69,2.0,4,RB,San Francisco,CA,USA,37.7790262,-122.4199061,06075,[48662]
4430183,Logan,Kyle,Vanderbilt,210,75,18.0,3,WR,Cypress,TX,USA,29.9691116,-95.6971686,48201,[62515]
4430584,Ben,Cox,Vanderbilt,310,77,75.0,3,OL,Radford,VA,USA,37.1317924,-80.5764477,51750,"[63014, 75028]"
4431375,Ken,Seals,Vanderbilt,225,75,8.0,3,QB,Azle,TX,USA,32.8975875,-97.5437799,48439,[62077]
4431474,Kevo,Wesley,Vanderbilt,295,76,97.0,3,DL,Chicago,IL,USA,41.8755616,-87.6244212,17031,[62057]
4432663,Dylan,Betts-Pauley,Vanderbilt,230,71,45.0,2,RB,Hoover,AL,USA,33.3848933,-86.8070484,01073,[72799]
4433827,Rocko,Griffin,Vanderbilt,203,69,24.0,3,RB,Rincon,GA,USA,32.2960289,-81.2353905,13103,[]
4433853,Chase,Lloyd,Vanderbilt,208,74,15.0,3,S,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[62871]
4433932,Mike,Wright,Vanderbilt,195,76,5.0,3,QB,Fayetteville,GA,USA,33.4487257,-84.4549262,13113,[74952]
4433948,De'Rickey,Wright,Vanderbilt,230,76,43.0,3,LB,Gadsden,AL,USA,34.010929,-85.9989596,01055,[61963]
4522107,Daveon,Walker,Vanderbilt,180,74,87.0,1,WR,Warner Robins,GA,USA,32.6200973,-83.606568,13153,[90896]
4557348,Langston,Patterson,Vanderbilt,234,73,42.0,1,LB,Nashville,TN,USA,36.1622296,-86.7743531,47037,[90614]
4565356,Ethan,Barr,Vanderbilt,245,75,32.0,3,LB,Flower Mound,TX,USA,33.0283854,-97.0867203,48121,[63432]
4566166,Wesley,Schelling,Vanderbilt,235,77,47.0,3,LS,Nashville,TN,USA,36.1622296,-86.7743531,47037,"[65284, 75250]"
4567531,Justin,Harris,Vanderbilt,200,73,11.0,4,S,Attalla,AL,USA,34.0217639,-86.0885851,01055,[47661]
4567532,Devin,Boddie Jr.,Vanderbilt,175,71,6.0,4,WR,Memphis,TN,USA,35.1490215,-90.0516285,47157,[47688]
4567534,Jaylen,Mahoney,Vanderbilt,195,71,23.0,4,DB,Rock Hill,SC,USA,34.9248667,-81.0250784,45091,[48202]
4567535,Anfernee,Orji,Vanderbilt,230,74,,4,LB,Rockwall,TX,USA,32.9312336,-96.4597089,48397,[47264]
4567536,Jared,Wheatley,Vanderbilt,196,73,30.0,4,P,Indian Trail,NC,USA,35.0768141,-80.6692352,37179,[49992]
4567537,Christian,James,Vanderbilt,275,76,91.0,4,DL,Memphis,TN,USA,35.1490215,-90.0516285,47157,[47802]
4567538,Daevion,Davis,Vanderbilt,285,74,9.0,4,DL,Madison,AL,USA,34.6928726,-86.7511427,01089,[47492]
4567539,Julian,Hernandez,Vanderbilt,315,76,62.0,4,OL,Davie,FL,USA,26.075729,-80.28410897530864,12011,[48257]
4567540,Brayden,Bapst,Vanderbilt,270,80,96.0,4,DE,Washington,DC,USA,38.8949855,-77.0365708,11001,[47781]
4567543,Justin,Ball,Vanderbilt,245,78,84.0,4,TE,Glenn Dale,MD,USA,38.9876104,-76.8205265,24033,[48647]
4567544,Joel,DeCoursey,Vanderbilt,235,76,85.0,4,TE,Zionsville,IN,USA,39.950724,-86.2616968,18011,[47916]
4567546,Nate,Clifton,Vanderbilt,280,77,90.0,4,DL,La Vergne,TN,USA,36.0156178,-86.5819394,47149,[48479]
4571597,Matt,Hayball,Vanderbilt,182,73,45.0,4,P,Adelaide,SA,Australia,,,,[]
4572341,Tyson,Russell,Vanderbilt,187,71,8.0,2,CB,Plantation,FL,USA,26.1265258,-80.25786123765101,12011,[72802]
4572380,Quincy,Skinner Jr.,Vanderbilt,205,74,3.0,2,WR,Pompano Beach,FL,USA,26.2378597,-80.1247667,12011,[71975]
4572444,Delfin Xavier,Castillo,Vanderbilt,340,77,64.0,2,OL,Kissimmee,FL,USA,28.2918995,-81.4075838,12097,[]
4594332,John,Howse IV,Vanderbilt,195,74,22.0,2,S,Nashville,TN,USA,36.1622296,-86.7743531,47037,[]
4594336,Miles,Capers,Vanderbilt,235,77,29.0,2,DE,Sumter,SC,USA,33.9204354,-80.3414693,45085,[73032]
4608679,Will,Sheppard,Vanderbilt,200,75,14.0,3,WR,Mandeville,LA,USA,30.3582305,-90.0657477,22103,[62471]
4612835,Tyler,Bence,Vanderbilt,256,75,33.0,2,DL,Huntsville,AL,USA,34.729847,-86.5859011,01089,[72809]
4679959,Jake,Ketschek,Vanderbilt,330,76,56.0,2,OL,Absecon,NJ,USA,39.4284503,-74.4957076,34001,[]
4682641,Marlen,Sewell,Vanderbilt,192,73,7.0,2,S,Birmingham,AL,USA,33.5206824,-86.8024326,01073,[72873]
4683219,Patrick,Smith,Vanderbilt,185,70,4.0,2,RB,Atlantic City,NJ,USA,39.3642852,-74.4229351,34001,[]
4683644,Alan,Wright,Vanderbilt,185,72,44.0,2,CB,Fayetteville,GA,USA,33.4487257,-84.4549262,13113,[]
4683646,Ezra,McAllister,Vanderbilt,183,72,82.0,2,WR,Marshall,MI,USA,42.2721367,-84.9642008,26025,[]
4684374,Gage,Pitchford,Vanderbilt,319,78,71.0,2,OL,Newnan,GA,USA,33.3806716,-84.7996573,13077,[72904]
4685456,Daniel,Martin,Vanderbilt,200,75,49.0,1,LB,Marietta,GA,USA,33.9528472,-84.5496148,13067,[90374]
4685777,Jack,Barton,Vanderbilt,215,73,20.0,3,S,Dallas,TX,USA,32.7762719,-96.7968559,48113,[]
4685778,Michael,Spencer,Vanderbilt,285,76,31.0,3,DL,Union,KY,USA,38.9458951,-84.680501,21015,[]
4685779,Tommy,Eckels,Vanderbilt,230,74,40.0,3,LB,Kansas City,MO,USA,39.100105,-94.5781416,29095,[]
4686357,Gamarion,Carter,Vanderbilt,191,74,83.0,2,WR,Toccoa,GA,USA,34.5774368,-83.332881,13257,[73742]
4689191,Gunnar,Hansen,Vanderbilt,320,77,55.0,2,OL,Boca Raton,FL,USA,26.3586885,-80.0830984,12099,[72979]
4690802,Wilson,Long,Vanderbilt,191,72,80.0,3,WR,Austin,TX,USA,30.2711286,-97.7436995,48453,[]
4692929,Trent,Weaver,Vanderbilt,310,75,52.0,3,OL,Saint Louis,MO,USA,38.6264178,-90.1998378,29510,[]
4699664,Devin,Lee,Vanderbilt,285,75,99.0,2,DL,Mcdonough,GA,USA,33.4473361,-84.1468616,13151,[]
4705124,Errington,Truesdell,Vanderbilt,228,73,12.0,2,LB,Duluth,GA,USA,34.0028569,-84.1441046,13135,[]
4705929,CJ,Taylor,Vanderbilt,201,73,13.0,2,LB,Mcminnville,TN,USA,35.683404,-85.7699816,47177,[]
4713649,Drew,Dickey,Vanderbilt,210,73,17.0,1,QB,Austin,TX,USA,30.2711286,-97.7436995,48453,[91092]
4782663,Linus,Zunk,Vanderbilt,250,78,95.0,1,DL,Berlin,,Germany,,,,[91113]
4799991,Cole,Spence,Vanderbilt,237,79,89.0,1,TE,Roswell,GA,USA,34.02332,-84.360022,13121,[91000]
4807124,Darren,Agu,Vanderbilt,240,78,92.0,1,DE,London,,England,,,,[90612]
4808745,Leyton,Nelson,Vanderbilt,305,78,57.0,1,OL,Orlando,FL,USA,28.5421109,-81.3790304,12095,[90667]
4824135,Grayson,Morgan,Vanderbilt,260,77,76.0,1,OL,Nashville,TN,USA,36.1622296,-86.7743531,47037,[90943]
4833353,Trudell,Berry,Vanderbilt,182,73,30.0,1,CB,Baytown,TX,USA,29.7355047,-94.9774274,48201,[90677]
4837351,Bryce,Cowan,Vanderbilt,210,76,48.0,1,LB,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,[91159]
4837384,Bradley,Mann,Vanderbilt,250,78,94.0,1,DL,Jacksonville,FL,USA,30.3321838,-81.655651,12031,[90754]
4869071,Levi,Harber,Vanderbilt,270,76,72.0,1,OL,Montrose,MI,USA,43.176694,-83.892744,26049,[91572]
4869592,Maurice,Edwards,Vanderbilt,195,72,37.0,1,RB,Gurnee,IL,USA,42.3702996,-87.9020186,17097,[90821]
4869968,David,Siegel,Vanderbilt,285,78,70.0,1,OL,New Canaan,CT,USA,41.146763,-73.4948446,09001,[91752]
4871101,Savion,Riley,Vanderbilt,200,74,41.0,1,S,Ackworth,GA,USA,,,,[91393]
4872581,Steven,Sannieniola,Vanderbilt,183,74,28.0,1,S,Bowie,MD,USA,38.9429659,-76.731234,24033,[91111]
4877627,Chase,Gillespie,Vanderbilt,185,70,46.0,1,RB,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,[91098]
4879629,Will,Faris,Vanderbilt,158,73,38.0,2,PK,Dallas,TX,USA,32.7762719,-96.7968559,48113,[]
4879631,Charlie,Clark,Vanderbilt,298,79,73.0,2,OL,Madison,WI,USA,43.074761,-89.3837613,55025,[]
4883774,Jayden,McGowan,Vanderbilt,177,68,16.0,1,WR,Laurens,SC,USA,34.4989248,-82.0156362,45059,[90894]
4888606,Quantaves,Gaskins,Vanderbilt,190,73,27.0,1,CB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[90715]
4903948,Daniel,Gaw,Vanderbilt,230,75,51.0,2,LB,Nashville,TN,USA,36.1622296,-86.7743531,47037,[]
4915713,Walter,Taylor,Vanderbilt,225,78,12.0,1,QB,Jackson,AL,USA,31.5090521,-87.8944435,01025,[91660]
4917139,Jameson,Wharton,Vanderbilt,175,73,39.0,1,CB,Henderson,TN,USA,35.4392435,-88.6414411,47023,[90783]
5081405,AJ,Swann,Vanderbilt,225,75,13.0,1,QB,White,GA,USA,,,,[90512]
5089060,Hutch,Baird,Vanderbilt,185,73,81.0,2,WR,Concord,OH,USA,39.0220092,-84.0802113,39025,[]
