id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
4039504,Justin,Clark,Wisconsin,180,71,21.0,4,CB,Pontiac,MI,USA,42.6389216,-83.2910468,26125,[37570]
4240779,Cedrick,Dort Jr.,Wisconsin,183,71,5.0,4,CB,Palm Beach Gardens,FL,USA,26.8418256,-80.13590694666684,12099,[40110]
4242348,Tyler,Beach,Wisconsin,317,78,65.0,4,OL,Grafton,WI,USA,43.3197265,-87.9534226,55089,[39025]
4249122,Jay,Shaw,Wisconsin,187,71,1.0,4,CB,Corona,CA,USA,33.8752945,-117.5664449,06065,[]
4372559,Chase,Wolf,Wisconsin,195,73,2.0,4,QB,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,[43923]
4372561,Isaac,Guerendo,Wisconsin,223,72,20.0,4,RB,Clayton,IN,USA,39.6892129,-86.5224984,18063,[43779]
4372562,Alexander,Smith,Wisconsin,183,71,11.0,4,CB,Culver City,CA,USA,34.0278787,-118.3888493,06037,[44183]
4372563,Mike,Gregoire,Wisconsin,187,70,28.0,4,WR,Green Bay,WI,USA,44.5126379,-88.0125794,55009,[]
4372565,John,Torchio,Wisconsin,211,73,15.0,4,S,Lafayette,CA,USA,37.8857582,-122.1180201,06013,[45171]
4372567,Travian,Blaylock,Wisconsin,198,71,26.0,4,S,Humble,TX,USA,29.9988312,-95.2621553,48201,[43514]
4372569,Brady,Schipper,Wisconsin,202,71,29.0,4,RB,Stoughton,WI,USA,42.9167389,-89.2178997,55025,[]
4372570,Marty,Strey,Wisconsin,225,74,32.0,4,LB,Sun Prairie,WI,USA,43.1834579,-89.2134359,55025,[]
4372571,C.J.,Goetz,Wisconsin,240,75,98.0,4,LB,Muskego,WI,USA,42.905848,-88.1389779,55133,[]
4372572,Jack,Eschenbach,Wisconsin,241,78,82.0,4,TE,Downers Grove,IL,USA,41.7938195,-88.010376,17043,[]
4372573,Jaylan,Franklin,Wisconsin,243,76,81.0,4,TE,Brownstown,MI,USA,38.995878,-88.9528394,17051,[43602]
4372578,Michael,Furtney,Wisconsin,315,77,74.0,4,OL,Milan,MI,USA,42.0848616,-83.6830279,26161,[43696]
4372580,Isaiah,Mullens,Wisconsin,303,76,99.0,4,DE,Columbus,OH,USA,39.9622601,-83.0007065,39049,[43689]
4426335,Graham,Mertz,Wisconsin,216,75,5.0,3,QB,Overland Park,KS,USA,38.9742502,-94.6851702,20091,[46861]
4426409,Chez,Mellusi,Wisconsin,210,71,1.0,4,RB,Naples,FL,USA,26.1421976,-81.7942944,12021,[47037]
4426694,Keeanu,Benton,Wisconsin,315,76,95.0,4,NT,Janesville,WI,USA,42.6829765,-89.0226793,55105,[48033]
4426760,Stephan,Bracey Jr.,Wisconsin,182,70,10.0,3,WR,Grand Rapids,MI,USA,42.9632405,-85.6678639,26081,[47961]
4426819,Tommy,Brunner,Wisconsin,260,75,76.0,3,DE,Milwaukee,WI,USA,43.0349931,-87.922497,55079,[]
4427002,Clay,Cundiff,Wisconsin,236,75,85.0,3,TE,Wichita,KS,USA,37.6922361,-97.3375448,20173,[47896]
4427151,Dean,Engram,Wisconsin,170,69,6.0,3,WR,Columbia,MD,USA,39.193919550000004,-76.87477229012376,24027,[47715]
4427612,Rodas,Johnson,Wisconsin,293,74,56.0,3,DE,Columbus,OH,USA,39.9622601,-83.0007065,39049,[47234]
4427847,Spencer,Lytle,Wisconsin,234,74,7.0,3,LB,Redondo Beach,CA,USA,33.8455911,-118.3886766,06037,[47209]
4427991,Semar,Melvin,Wisconsin,170,71,20.0,3,CB,Pembroke Pines,FL,USA,26.02322025,-80.34123906625615,12011,[47523]
4428125,Maema,Njongmeta,Wisconsin,229,72,55.0,3,LB,Buffalo Grove,IL,USA,42.1675825,-87.95564020833334,17097,[47334]
4428396,Hayden,Rucci,Wisconsin,256,76,87.0,3,TE,Lititz,PA,USA,40.1571252,-76.3072103,42071,[47267]
4428681,Joe,Tippmann,Wisconsin,317,78,75.0,3,OL,Fort Wayne,IN,USA,41.0799898,-85.1386015,18003,[47121]
4428700,Isaac,Townsend,Wisconsin,283,77,93.0,3,DE,Arvada,CO,USA,39.8211225,-105.22074299044587,08059,[47309]
4429164,Nick,Herbig,Wisconsin,228,74,19.0,3,LB,Kauai,HI,USA,,,,[61710]
4429248,Dylan,Barrett,Wisconsin,320,77,61.0,2,OL,Saint Charles,IL,USA,38.7946252,-90.519829,29183,"[62348, 74970]"
4429250,Ben,Barten,Wisconsin,300,77,68.0,2,DE,Stratford,WI,USA,44.8010763,-90.0792975,55073,[62423]
4430205,Cam,Large,Wisconsin,235,75,49.0,2,TE,Pomfret,CT,USA,41.8975977,-71.9625736,09015,[62284]
4430281,Gio,Paez,Wisconsin,316,75,94.0,3,DE,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,[47708]
4430594,Titus,Toler,Wisconsin,195,71,41.0,3,S,Long Beach,CA,USA,33.7690164,-118.1916048,06037,[47296]
4430765,Cole,Dakovich,Wisconsin,250,77,48.0,2,TE,Waukesha,WI,USA,43.0116784,-88.2314813,55133,[62102]
4430812,Trey,Wedig,Wisconsin,315,79,78.0,2,OL,Oconomowoc,WI,USA,43.1116731,-88.4992659,55133,[61650]
